,ycjX
Cr_1,-0.0020069492721997073
Cr_2,0.0011363365052760753
Cr_3,0.012891547282342292
Cr_4,0.025863237926780625
Cr_5,0.036550671513316334
Cr_6,0.05210288414883693
Fe_1,-0.005666304129165603
Fe_2,-0.015930839231292834
Fe_3,-0.02236807390791211
Fe_4,-0.033279057420994976
Fe_5,-0.041201021456248266
Fe_6,-0.04381625213064375
Cd_1,-0.002257027310916125
Cd_2,-0.0016088636288601214
Cd_3,-0.0009519454970253855
Cd_4,0.0009412224955177439
Cd_5,0.00030763693489067797
Cd_6,0.007346415083865133
Zn_1,-0.0010702001681882894
Zn_2,-0.002208404623189555
Zn_3,0.0071618440265544606
Zn_4,0.029348222563810707
Zn_5,0.05587050676616324
Zn_6,0.08243355327234547
Cu_1,-0.003012249580174077
Cu_2,-0.006399136450283247
Cu_3,-0.007219799496628466
Cu_4,-0.00647369737141515
Cu_5,-0.0022887078968064764
Cu_6,0.0071988803115702405
Pb_1,0.009149993678245084
Pb_2,0.01683369109161671
Pb_3,0.025608500650053115
Pb_4,0.039171716513338686
Pb_5,0.05056049150260812
Pb_6,0.06565032228182924
