,rrfE
Cr_1,-0.005998762347137846
Cr_2,-0.01048541734696232
Cr_3,-0.01135209355860914
Cr_4,0.0037611034156318853
Cr_5,0.0086919294612266
Cr_6,0.013438809124365602
Fe_1,-0.01750908345258548
Fe_2,-0.046655364692155865
Fe_3,-0.06470195288834446
Fe_4,-0.08742401014597334
Fe_5,-0.09125768415218256
Fe_6,-0.08520094532773899
Cd_1,-0.0016055156079477812
Cd_2,0.0004237858017083538
Cd_3,0.006176536273104315
Cd_4,0.015635428669019104
Cd_5,0.023131724424787867
Cd_6,0.03108251230886698
Zn_1,0.0512680086655894
Zn_2,0.1516286507821914
Zn_3,0.2930671210503817
Zn_4,0.4407680710392863
Zn_5,0.5736389266143077
Zn_6,0.6708648347696109
Cu_1,0.0102680296974345
Cu_2,0.01761006758590572
Cu_3,0.023409549511711182
Cu_4,0.026842495552057945
Cu_5,0.031791558212326335
Cu_6,0.03537569916942484
Pb_1,-0.00540672219670134
Pb_2,-0.004518640103343564
Pb_3,0.0015436863589759575
Pb_4,0.00023184134932387242
Pb_5,0.0010593680657857206
Pb_6,0.007639205119732439
