,tam
Cr_1,0.0008837854477075979
Cr_2,0.010549763890122018
Cr_3,0.04575167833153666
Cr_4,0.08602857588747359
Cr_5,0.1293710925599631
Cr_6,0.17085991741943976
Fe_1,-0.03712155647514143
Fe_2,-0.07604571776142398
Fe_3,-0.09780220526757703
Fe_4,-0.10031414260617186
Fe_5,-0.16393868706994907
Fe_6,-0.2223160690341223
Cd_1,0.0030049961546839607
Cd_2,0.0019513995345972308
Cd_3,0.005061122541034497
Cd_4,0.012641119337656673
Cd_5,0.017187283562501817
Cd_6,0.02020505210416974
Zn_1,-0.03587175520284622
Zn_2,-0.07741823434697953
Zn_3,-0.1186680388266233
Zn_4,-0.1569191509978168
Zn_5,-0.193848513480724
Zn_6,-0.029152818367469174
Cu_1,0.003917571580110621
Cu_2,0.009500500566772523
Cu_3,0.018505308547300585
Cu_4,0.028079784802043463
Cu_5,0.034123106588219064
Cu_6,0.04624761524870734
Pb_1,0.009449917227811749
Pb_2,0.013783044755794992
Pb_3,0.03748223159124748
Pb_4,0.062010603479623325
Pb_5,0.08330868917656481
Pb_6,0.0961285789309452
