,dsdX
Cr_1,0.011323590546478373
Cr_2,0.009365873947646812
Cr_3,0.020935077346352318
Cr_4,0.020000449512026102
Cr_5,0.021012679546857645
Cr_6,0.021965003350965854
Fe_1,-0.0140602798074202
Fe_2,-0.0432514540420169
Fe_3,-0.0692248403190716
Fe_4,-0.07121860493510483
Fe_5,-0.06034991930394942
Fe_6,-0.05217556544484255
Cd_1,-0.0013053030464725045
Cd_2,0.0002898491117186689
Cd_3,0.002205534677945039
Cd_4,0.005680171864182996
Cd_5,0.007890467855911472
Cd_6,0.003805747604587756
Zn_1,-0.04403453251295375
Zn_2,-0.10459213771997787
Zn_3,-0.04985058255271493
Zn_4,0.05055557995112183
Zn_5,0.05277826038303665
Zn_6,0.07777748085669382
Cu_1,0.008078910003296332
Cu_2,0.011343366567784842
Cu_3,0.024387156751297632
Cu_4,0.034871910029762865
Cu_5,0.05487406034251119
Cu_6,0.06733154360247529
Pb_1,-0.002680289430634374
Pb_2,-0.0030843567833593035
Pb_3,0.007901456098034712
Pb_4,0.01184470544923649
Pb_5,0.015938664151172427
Pb_6,0.0220152966222927
