,A,SigV
R2,,0.8688204492441542
xmin,,-4.6202461880608645
xmid,,
xmax,,7.323319489879353
ystart,,-9.787331120263014
yend,,15.762883364167475
SRX8138083,-1.04238292663456,-0.3617412075677633
SRX8138084,0.2017975640095596,-0.2478866259082557
SRX8138085,0.8405853626249895,0.6096278334760195
SRX8138086,0.5099875571185567,0.1760451243614387
SRX8138087,1.6940806003451636,0.482677084004937
SRX8138088,2.0038425612915614,0.7062462617570344
ERX4111143,-0.07654245331969095,-0.2706282358323344
ERX4111144,13.995215111202636,5.526697625061795
ERX4111145,1.9977807177698643,0.3980829704843281
ERX4111146,19.72798947703471,7.003988861441138
ERX4111148,-0.5612799159290494,-0.29303215101683033
ERX4111149,18.86482103301434,7.229453709007398
ERX4111150,2.9002844734229285,0.9614590233870176
ERX4111151,0.07654245331969296,0.270628235832334
ERX4111152,12.773648177014616,5.2534778725511995
ERX4111153,1.5639019328108403,0.40510758803745306
ERX4111154,21.293545020275353,7.323319489879353
ERX4111156,0.9623640159226332,0.4315637779052968
ERX4111157,19.138890921689995,7.063650405002309
ERX4111158,1.9708225861736508,0.7020098347281682
SRX5577041,-0.03491912341936294,-0.5495168970968576
SRX5577042,0.05871988550413255,0.17053387157862288
SRX5577043,0.3558315435652454,0.5346905551220398
SRX5577044,-0.3796323056500169,-0.15570752960380552
SRX5577045,2.4620512858909227,0.8147829307430325
SRX5577046,1.535948467134861,0.3154621060622929
SRX5577047,1.584162593198863,0.10955795388241583
SRX5577048,1.4838181107560802,0.25221182884409377
SRX5577049,0.0789670144596,-0.9277252082023032
SRX5577050,-0.08501443300632555,-0.5632736961209157
SRX5577051,1.981543426436541,1.0569916385445652
SRX5577052,2.3273536653388387,0.7860387029844165
SRX5577053,3.600590905127812,1.7577332550664837
SRX5577054,1.3727586449669706,-0.4101366820612449
SRX5577055,4.037749528643897,2.316402606407228
SRX5577056,2.133877766238219,-0.08574509166826627
SRX5577057,2.5246654422490957,0.8571625103084513
SRX5577058,2.4017469608346595,-0.2592558405365448
SRX5577059,1.938994991641665,-0.14141739873962764
SRX5577060,1.8239941068096512,0.0723925238286971
SRX5577061,5.910672978135952,3.2971137401234225
SRX5577062,3.2319503428530383,0.5006647918012965
SRX5577063,2.5214355842455327,0.6224328471544971
SRX5577064,4.1879061362556405,1.847243805674528
SRX5577065,1.899071865725377,0.3311895881455742
SRX5577066,4.005105825980706,2.086222293210664
SRX5577067,5.346179894473346,2.8038922495795746
SRX5577068,3.9786075827314664,2.224428277858836
SRX533166,-0.551660695769844,-0.35375670545080995
