,PSPTOA0056
SRX1828913,-0.1842345068
SRX1828914,-1.3730759372
SRX1828915,0.0545495327
SRX1828916,-1.155090114
SRX1828917,0.129684974
SRX1828918,-1.7376322423000001
SRX3983989,-0.505689195
SRX3983990,-0.4601923402
SRX3983993,-2.2164039572
SRX3983994,-2.9981841262
SRX3983995,-0.4068397311
SRX3983996,-2.3168069209
SRX3983997,-2.2357430183
SRX3983998,-0.4469510317
SRX3983999,-0.2021330157
SRX3984000,-0.8847315443
SRX3984001,-1.9301365033
SRX3984002,-1.6536601588000002
SRX3984003,-1.5979217555
SRX3984004,-0.38087959120000003
SRX3984005,-1.2102443855
SRX3984006,-1.9553678983
SRX3984007,-2.0211089626
SRX3984008,-0.4810400144
SRX3984009,-0.3625131971
SRX3984010,-1.7322883934000002
SRX3984011,-0.49661423330000004
SRX3984012,-0.2873184754
SRX3984013,-0.7046399924
SRX3984014,-0.6611844509
SRX3984015,-1.8418288053
SRX3984016,-0.48593098840000004
SRX3984017,-1.9577850423
SRX3984019,-0.1004166476
SRX3984020,-2.406914735
SRX3984021,-1.6350958052
SRX3984022,-2.7088753536
SRX3984023,0.0097825723
SRX3984024,-0.2080797748
SRX3984025,-0.5059316215
SRX3984026,-0.47156006180000004
SRX3984027,-0.8963745856
SRX3984028,-0.7728380608000001
SRX3984029,-0.7910579155
SRX3984031,-1.8849992632
SRX3984032,-1.6990442137000001
SRX3984034,-0.08898423100000001
SRX3984035,-2.4704266467
SRX3984036,-1.5481723958
SRX3984037,-2.35012438
SRX3984038,-1.2650102337
SRX3984039,-1.2813336321
SRX3984040,-0.5091337013
SRX3984041,-1.1771831055
SRX3984042,-2.284532259
SRX3984043,-2.6000497521
SRX3984045,-0.2603077314
SRX3984046,-0.0103285808
SRX3984047,-1.5509928307
SRX3984048,-2.1918825782
SRX3984049,-1.4580368482
SRX3984050,-2.0109503687
SRX3984051,-1.5705540285000001
SRX3984052,-0.044817783300000004
SRX3984056,-1.9545365107000001
SRX3984057,-1.8236690971
SRX3984058,-1.6152843738
SRX3984059,-0.20985886350000002
SRX3984061,-0.1056901204
SRX3984062,-0.4318208515
SRX3984063,0.0380334248
SRX3984064,-0.151918897
SRX3984065,-0.3436090955
SRX3984066,-0.511169061
SRX3984067,-0.4692617878
SRX3984068,-0.5907734575
SRX3984069,-1.5474756275
SRX3984070,-1.8648342645
SRX3984071,-1.6314001919
SRX3984073,-0.33781828
SRX3984074,-0.9142728074
SRX3984077,-0.2098084875
SRX3984078,-0.3752686297
SRX3984079,-2.4471433182
SRX3984080,0.0895302395
SRX3984082,-0.1174377565
SRX3984084,-1.9805140296000001
SRX6997963,0.6950908465
SRX6997964,1.4877794248
SRX6997965,1.2634915668
SRX6997967,0.5680938858
SRX6997968,0.6959394666000001
SRX6997969,0.0083366562
SRX6997971,-1.2631847323
SRX6997972,0.18982181280000002
SRX6997973,1.1197691712
SRX3159100,-0.5919425973
SRX3159101,0.4865136427
SRX3159102,0.37099444670000004
SRX3159103,-0.26556549220000003
