,grxB
Cr_1,-0.012812298723786916
Cr_2,-0.02536689544811557
Cr_3,-0.04265549417577948
Cr_4,-0.06141215687545249
Cr_5,-0.07769489619164313
Cr_6,-0.09499573288629383
Fe_1,-0.003677610521813197
Fe_2,-0.010655061829956087
Fe_3,-0.025324310285054098
Fe_4,-0.048323064946213766
Fe_5,-0.06667983536564746
Fe_6,-0.08908447702849467
Cd_1,0.0020163784325700537
Cd_2,0.005852867938193146
Cd_3,0.008003167959910506
Cd_4,0.013285515287656922
Cd_5,0.018319623200879438
Cd_6,0.03230683538968373
Zn_1,0.006386846271648875
Zn_2,0.018983793982840915
Zn_3,0.0314315216273577
Zn_4,0.050305245176790095
Zn_5,0.06932495410820266
Zn_6,0.0954219748373868
Cu_1,-0.003490823886499129
Cu_2,-0.0017601257480003504
Cu_3,0.0007474227754972097
Cu_4,0.005153588128013357
Cu_5,0.007126882703387942
Cu_6,0.009163040521095268
Pb_1,-0.00029675241004898425
Pb_2,0.0018802122552561175
Pb_3,0.007829764314238308
Pb_4,0.01828084548342681
Pb_5,0.03152819511485908
Pb_6,0.04097534805274218
