,ydjF
Cr_1,0.010191429673425751
Cr_2,0.004653299227078286
Cr_3,0.0014460086183369619
Cr_4,0.007161116281733675
Cr_5,0.018933005656456732
Cr_6,0.030980066634805205
Fe_1,-0.017235652532937788
Fe_2,-0.018687471803453898
Fe_3,-0.013208821838513895
Fe_4,-0.018871393675353502
Fe_5,-0.032841574297957934
Fe_6,-0.04556038922116502
Cd_1,-0.001782258827688527
Cd_2,0.0036862069361538064
Cd_3,0.008449961859669055
Cd_4,0.011990272207212835
Cd_5,0.009386133776085605
Cd_6,0.010551207732238742
Zn_1,-0.022466546645622962
Zn_2,-0.029506164281198337
Zn_3,-0.02848009822380858
Zn_4,-0.03357630567878043
Zn_5,-0.04635104995046137
Zn_6,-0.05447790216642908
Cu_1,0.002329155648416245
Cu_2,0.0063177356851005255
Cu_3,0.017387991337266956
Cu_4,0.025193039970654182
Cu_5,0.0285171335392004
Cu_6,0.03866105308798743
Pb_1,-0.00802600231735053
Pb_2,0.0015580898531174312
Pb_3,0.006982020266356492
Pb_4,0.016624659028803973
Pb_5,0.027924433419621388
Pb_6,0.02474374426179364
