,ytfR
Cr_1,0.003104132358348788
Cr_2,0.018301587562198924
Cr_3,0.03040497440123842
Cr_4,0.02730335282386855
Cr_5,0.032884623089807746
Cr_6,0.03583342944277865
Fe_1,-0.006488988182010336
Fe_2,-0.0007136566076072272
Fe_3,0.0049333005792758546
Fe_4,0.03583595814815644
Fe_5,0.0611033485980571
Fe_6,0.07738898346020183
Cd_1,0.000710061706322891
Cd_2,-0.003934221064579797
Cd_3,-0.0059260116500403325
Cd_4,-0.002000527831849784
Cd_5,-0.0015410820092235517
Cd_6,0.003659319518212745
Zn_1,-0.01983099850713786
Zn_2,-0.02354240445047014
Zn_3,-0.035131264695468435
Zn_4,-0.035332162150282856
Zn_5,-0.02814718433355651
Zn_6,-0.0446552713816217
Cu_1,0.012035310346394256
Cu_2,0.02221192813767737
Cu_3,0.09084548638237527
Cu_4,0.05387304688733401
Cu_5,0.0503041571324864
Cu_6,0.03511873618054925
Pb_1,-0.04640940676926178
Pb_2,-0.12642097224574655
Pb_3,-0.11366817317833873
Pb_4,-0.13617743767292165
Pb_5,-0.20009277513390894
Pb_6,0.07994183858689062
