,ycjM
Cr_1,0.0009661732594320947
Cr_2,0.0051952214204520715
Cr_3,0.01445277953973844
Cr_4,0.01959444642130986
Cr_5,0.030861586199834482
Cr_6,0.045444749017242256
Fe_1,-0.007958384315322628
Fe_2,-0.011117162799458902
Fe_3,-0.009200120885699416
Fe_4,-0.01128203895021655
Fe_5,-0.015164480512809494
Fe_6,-0.022070367552092598
Cd_1,-0.003396007345794466
Cd_2,-0.007589067015615326
Cd_3,-0.0073309596531489375
Cd_4,-0.003242335837481116
Cd_5,-0.004228730376360842
Cd_6,0.0025239879767639754
Zn_1,0.008898204156121489
Zn_2,0.0209036489535298
Zn_3,0.04114584513258211
Zn_4,0.06852634512714857
Zn_5,0.0960184517073466
Zn_6,0.12138637930026765
Cu_1,0.0015272648103579205
Cu_2,0.005291512400881057
Cu_3,0.013700239449970113
Cu_4,0.021726479710824725
Cu_5,0.03351024766703089
Cu_6,0.04640036640004317
Pb_1,0.007183056674337908
Pb_2,0.01424209712721384
Pb_3,0.02490277029945308
Pb_4,0.033762038581481066
Pb_5,0.03822623614730362
Pb_6,0.03997914400974991
