,ybfF
Cr_1,0.004500925316809492
Cr_2,0.011602213033719572
Cr_3,0.014683830397597668
Cr_4,0.017975612913454276
Cr_5,0.021835495165132883
Cr_6,0.030231617125449483
Fe_1,-0.005055506737643785
Fe_2,-0.014284757051262715
Fe_3,-0.016303677062535254
Fe_4,-0.01858253789587416
Fe_5,-0.013430781166246393
Fe_6,-0.010433035875890602
Cd_1,0.006409840488919557
Cd_2,0.015051676857861126
Cd_3,0.02064320787384356
Cd_4,0.027047316846407137
Cd_5,0.031067748494894163
Cd_6,0.03699807780254986
Zn_1,-0.0012944984334403893
Zn_2,0.0011366960302834476
Zn_3,0.002291865170871821
Zn_4,0.004588757395110905
Zn_5,0.002510985478369973
Zn_6,0.004485118854546833
Cu_1,0.002853570866404712
Cu_2,0.011869390734498808
Cu_3,0.023528054401002998
Cu_4,0.032901425747709934
Cu_5,0.04295619670960586
Cu_6,0.05211395051672171
Pb_1,0.01657699423451036
Pb_2,0.0332640985800101
Pb_3,0.047698231883571134
Pb_4,0.0570385744086948
Pb_5,0.0663073340570976
Pb_6,0.07789016835248194
