,yjjI
Cr_1,-0.000405788669442044
Cr_2,-0.002809860409889459
Cr_3,0.005210456655620531
Cr_4,0.008636541131446908
Cr_5,0.007644353914791322
Cr_6,0.005887279930638833
Fe_1,-0.011435660421839284
Fe_2,-0.0217696267585266
Fe_3,-0.025514667580182514
Fe_4,-0.0294354127268372
Fe_5,-0.029787566702306662
Fe_6,-0.017080133082280742
Cd_1,0.002068455117641737
Cd_2,0.006287604134957606
Cd_3,0.006112802639799461
Cd_4,-0.0006824837607378753
Cd_5,-0.005650307597944357
Cd_6,-0.005379988633401992
Zn_1,-0.005770501484124421
Zn_2,-0.009346591958588259
Zn_3,-0.002572714046243233
Zn_4,0.002529239624177781
Zn_5,0.00695421037964945
Zn_6,0.008931029470307723
Cu_1,0.005153960168367602
Cu_2,0.004402682957033584
Cu_3,0.010918583806499007
Cu_4,0.015893047638962904
Cu_5,0.02612058798168653
Cu_6,0.037555182490273016
Pb_1,0.008308461039732781
Pb_2,0.01244715989583807
Pb_3,0.012708157894694216
Pb_4,0.015767373127315937
Pb_5,0.020788937770583552
Pb_6,0.03618078598298974
