,yjjK
Cr_1,-0.005093004867473054
Cr_2,-0.0009104627099243101
Cr_3,0.006513425441048425
Cr_4,0.009431890644106085
Cr_5,0.008353729602381309
Cr_6,-0.003487385783489823
Fe_1,-0.019056974586094937
Fe_2,-0.058115176141369976
Fe_3,-0.10764221756618143
Fe_4,-0.15299982528587905
Fe_5,-0.19472182925160766
Fe_6,-0.23947490292264956
Cd_1,0.0017817725107714406
Cd_2,0.0066277564108694394
Cd_3,0.014382826567045034
Cd_4,0.01795005863502909
Cd_5,0.01867676161939186
Cd_6,0.029321664731087695
Zn_1,0.5035520066997843
Zn_2,0.23874278074855776
Zn_3,0.38651077812099227
Zn_4,0.4983931592209033
Zn_5,0.5570413313071894
Zn_6,0.6256174454987953
Cu_1,0.0034929191392434737
Cu_2,0.007104743933291991
Cu_3,0.02130128991834622
Cu_4,0.032071724488715966
Cu_5,0.044260366175470994
Cu_6,0.05809197305013629
Pb_1,0.004290122026670176
Pb_2,0.010607069337993193
Pb_3,0.025756953775894542
Pb_4,0.052100072011128776
Pb_5,0.0706291406043203
Pb_6,0.08120325295521681
