,regulator,MG5005_TF_id,trn_type,gene_name,MG5005_gene_id,gene_id,TF_id,old_TF_id,old_gene_id,Ref,Ref genome,Note
0,NiaR,SPy1427,TF,niaX,SPy1425,SP5448_03795,SP5448_03785,,,RegPrecise,,
1,NiaR,SPy1427,TF,pncA,SPy1776,SP5448_01985,SP5448_03785,,,RegPrecise,,
2,NiaR,SPy1427,TF,nadC,SPy0197,SP5448_01020,SP5448_03785,,,RegPrecise,,
3,CmbR,SPy0824,TF,coaB,SPy1221,SP5448_04935,SP5448_06370,,,RegPrecise,,
4,CmbR,SPy0824,TF,coaBC,SPy1222,SP5448_04930,SP5448_06370,,,RegPrecise,,
5,CmbR,SPy0824,TF,panT,SPy1223,SP5448_04925,SP5448_06370,,,RegPrecise,,
6,CmbR,SPy0824,TF,gshT,SPy0317,SP5448_08155,SP5448_06370,,,RegPrecise,,
7,L10_leader,SPy0824,RNA,rplJ,SPy1072,SP5448_05600,SP5448_06370,,,RegPrecise,,
8,L10_leader,SPy0824,RNA,rplL,SPy1073,SP5448_05595,SP5448_06370,,,RegPrecise,,
9,TPP,SPy0824,RNA,thiT,SPy0600,SP5448_07060,SP5448_06370,,,RegPrecise,,
10,FMN,SPy0824,RNA,ribU,SPy0373,SP5448_07940,SP5448_06370,,,RegPrecise,,
11,FMN,SPy0824,RNA,bcrC,SPy0374,SP5448_07935,SP5448_06370,,,RegPrecise,,
12,PyrR,SPy0824,RNA,pyrF,SPy0900,SP5448_06050,SP5448_06370,,,RegPrecise,,
13,PyrR,SPy0824,RNA,pyrE,SPy0901,SP5448_06045,SP5448_06370,,,RegPrecise,,
14,PyrR,SPy0824,RNA,pyrR,SPy0830,SP5448_06355,SP5448_06370,,,RegPrecise,,
15,PyrR,SPy0824,RNA,pyrP,SPy0831,SP5448_06350,SP5448_06370,,,RegPrecise,,
16,PyrR,SPy0824,RNA,pyrB,SPy0832,SP5448_06345,SP5448_06370,,,RegPrecise,,
17,PyrR,SPy0824,RNA,carA,SPy0833,SP5448_06340,SP5448_06370,,,RegPrecise,,
18,PyrR,SPy0824,RNA,naiP,SPy1340,SP5448_04135,SP5448_06370,,,RegPrecise,,
19,Glycine,SPy0824,RNA,agcS,SPy1270,SP5448_04730,SP5448_06370,,,RegPrecise,,
20,L13_leader,SPy0824,RNA,rplM,SPy1932,SP5448_08390,SP5448_06370,,,RegPrecise,,
21,L13_leader,SPy0824,RNA,rpsI,SPy1931,SP5448_08385,SP5448_06370,,,RegPrecise,,
22,L19_leader,SPy0824,RNA,rplS,SPy0724,SP5448_06800,SP5448_06370,,,RegPrecise,,
23,L20_leader,SPy0824,RNA,infC,SPy0804,SP5448_06455,SP5448_06370,,,RegPrecise,,
24,L20_leader,SPy0824,RNA,rpmI,SPy0805,SP5448_06450,SP5448_06370,,,RegPrecise,,
25,L20_leader,SPy0824,RNA,rplT,SPy0806,SP5448_06445,SP5448_06370,,,RegPrecise,,
26,L21_leader,SPy0824,RNA,rplU,SPy0819,SP5448_06385,SP5448_06370,,,RegPrecise,,
27,L21_leader,SPy0824,RNA,ysxB,SPy0821,SP5448_06380,SP5448_06370,,,RegPrecise,,
28,L21_leader,SPy0824,RNA,rpmA,SPy0822,SP5448_06375,SP5448_06370,,,RegPrecise,,
