,-0.17915261980000002,-0.15807584100000002,-0.13699906220000002,-0.11592228340000002,-0.09484550460000002,-0.07376872580000002,-0.05269194700000002,-0.031615168200000016,-0.010538389400000014,0.010538389399999987,0.03161516819999999,0.05269194699999999,0.07376872579999999,0.09484550460000002,0.11592228339999999,0.13699906219999997,0.158075841,0.17915261980000002,0.2002293986,0.22130617739999997
thresh,-0.0843071152,0.0843071152,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,1,0,2,20,142,2020,1835,144,27,7,6,3,0,2,1,0,0
unreg_genes,['oxyR'],[],[],['mqo'],[],[],[],[],[],[],[],[],[],['gntT' 'xthA' 'yibV' 'glpE' 'dps' 'trxB'],['hemF' 'yijE' 'katG'],[],['hemH' 'yaaA'],['bhsA'],[],[]
