,tilS
Cr_1,-0.00019093126143923835
Cr_2,0.002702355441231605
Cr_3,0.00118082047854013
Cr_4,0.0026483502382614807
Cr_5,0.005225786636783272
Cr_6,0.004176012229497833
Fe_1,0.0014372729052067874
Fe_2,-0.005606884212351084
Fe_3,-0.0032117831934436072
Fe_4,-0.0042975513011677255
Fe_5,-0.0010473243945083846
Fe_6,0.0011219502728375488
Cd_1,0.0018561986643509914
Cd_2,0.004918711142578817
Cd_3,0.00876579117227837
Cd_4,0.015333973063604288
Cd_5,0.01698180725742617
Cd_6,0.024590882328242775
Zn_1,-0.007913265443018663
Zn_2,-0.00524131718312829
Zn_3,0.03103285268260192
Zn_4,0.15548139926187482
Zn_5,0.2390662040702413
Zn_6,0.290527806418391
Cu_1,0.0011571052230476974
Cu_2,0.002500513981507621
Cu_3,0.005041795334069567
Cu_4,0.009598739831346492
Cu_5,0.010099983903331932
Cu_6,0.014156551846396557
Pb_1,0.0045773702351525536
Pb_2,0.01141198267914955
Pb_3,0.019164900233180463
Pb_4,0.02891131679142357
Pb_5,0.03476157420263549
Pb_6,0.04503395917547109
