,ydcI
Cr_1,-0.0005343249781245713
Cr_2,0.002112549898442965
Cr_3,0.008223096066218707
Cr_4,0.0125802844838217
Cr_5,0.01532882183071436
Cr_6,0.013756535649284059
Fe_1,-0.01344923022215535
Fe_2,-0.03417088681639855
Fe_3,-0.059357645309393664
Fe_4,-0.08898286911147861
Fe_5,-0.10919353932178448
Fe_6,-0.11894150941993975
Cd_1,-0.0006839143245130646
Cd_2,-5.9617664753017384e-05
Cd_3,0.004320392222480832
Cd_4,0.01313609854364784
Cd_5,0.018493173857556555
Cd_6,0.02397743891619961
Zn_1,-0.018099365052587864
Zn_2,-0.023261624521921542
Zn_3,-0.02539742125200901
Zn_4,-0.025994912842967042
Zn_5,-0.037128140595421286
Zn_6,-0.04494480592420564
Cu_1,0.011470321069595285
Cu_2,0.027379133555651015
Cu_3,0.04218080251949974
Cu_4,0.05294350491046722
Cu_5,0.06567686675403077
Cu_6,0.07658821451789143
Pb_1,0.009397259058876657
Pb_2,0.021688351197201163
Pb_3,0.03675921980401552
Pb_4,0.050581138012585285
Pb_5,0.06508210389788849
Pb_6,0.08168244700138351
