,flk
Cr_1,0.00017303927235324474
Cr_2,0.008663888650628455
Cr_3,0.023918020755704532
Cr_4,0.02502716876910634
Cr_5,0.032624497752152135
Cr_6,0.032483302301728564
Fe_1,-0.009777643465639635
Fe_2,-0.012793178136086046
Fe_3,0.0018646014444459887
Fe_4,0.005361201007006196
Fe_5,0.008926131717615856
Fe_6,0.007301497850278011
Cd_1,-0.005736946243896646
Cd_2,-8.632366600424635e-05
Cd_3,0.0038659825734963732
Cd_4,0.005878629819780807
Cd_5,0.0088524104347807
Cd_6,0.015609883652876612
Zn_1,0.050309108872899584
Zn_2,0.20730726356874865
Zn_3,0.4407795780138721
Zn_4,0.6204523738811184
Zn_5,0.7248032737886952
Zn_6,0.7419481095375087
Cu_1,0.0044472333619449776
Cu_2,-0.00132821271975318
Cu_3,-0.003018941858965821
Cu_4,-0.00422968100495196
Cu_5,0.0009571122846624891
Cu_6,0.002516536201166398
Pb_1,0.010505608715544387
Pb_2,0.022242383631800502
Pb_3,0.034602700220220294
Pb_4,0.046425510120432736
Pb_5,0.0608437611311344
Pb_6,0.07589265632791442
