,aroP
Cr_1,-0.010613562549439171
Cr_2,-0.01506656990709799
Cr_3,-0.017997067816687442
Cr_4,-0.02810323174405512
Cr_5,-0.03843103673561461
Cr_6,-0.04539588387993262
Fe_1,-0.011373978138215364
Fe_2,-0.030779044728451933
Fe_3,-0.04326151719473549
Fe_4,-0.09090443699861278
Fe_5,-0.1366865499071131
Fe_6,-0.1602520718818283
Cd_1,0.006810838291464001
Cd_2,0.019251040165060625
Cd_3,0.03642809104847571
Cd_4,0.05362094312452274
Cd_5,0.06778408791414471
Cd_6,0.08807128589009346
Zn_1,-0.022804177818124858
Zn_2,-0.049837658509816
Zn_3,-0.07432246845875914
Zn_4,-0.0876039371685367
Zn_5,-0.10419080302707327
Zn_6,-0.1081501974791362
Cu_1,0.00686433896975879
Cu_2,0.0149320146333387
Cu_3,0.02274037440199999
Cu_4,0.026100260774559528
Cu_5,0.03367147528966876
Cu_6,0.049323630863383726
Pb_1,0.0045142665479237926
Pb_2,0.017177915759951732
Pb_3,0.034625188079203915
Pb_4,0.061818813942966164
Pb_5,0.0837553912887545
Pb_6,0.11396923926344026
