,A,flhD
crp__delar1ar2_glyc__1,-6.1626904058,-1.561501683
crp__delar1ar2_glyc__2,-5.8864012379,-2.031664782
crp__delar1ar2_glyc__3,-5.8607271048000005,-2.415498399
crp__delar2_glyc__1,20.4230654956,1.414329865
crp__delar2_glyc__2,20.9748685346,1.734843162
crp__delar2_glyc__3,21.2130948901,1.480120271
crp__delcrp_fru__1,-5.5992870206,-3.297986385
crp__delcrp_fru__2,-4.3076498123,-3.916488529
crp__delcrp_fru__3,-3.7956350685,-2.528279265
crp__delcrp_glc__1,-5.1307792874,-3.493648318
crp__delcrp_glc__2,-5.020262138,-2.467526382
crp__delcrp_glc__3,-5.4373433828,-2.722754872
crp__delcrp_glyc__1,-5.8456551103,-2.899493084
crp__delcrp_glyc__2,-4.6747190669,-2.6725856720000003
crp__delcrp_glyc__3,-5.0677206963,-2.082546713
glu__glu_ale3__1,9.8973026303,-0.652939683
glu__glu_ale4__1,22.1270760642,0.247950463
glu__glu_ale5__1,31.2029591691,1.449544518
glu__glu_ale6__1,16.6679312167,0.657418391
glu__glu_ale8__1,18.3573495855,0.460553806
glu__glu_ale9__1,10.0119426154,-0.5133780370000001
glu__glu_ale10__1,18.3924074161,-0.777021065
42c__wt_42c__1,-7.1764067636,0.5328236780000001
42c__42c_ale1__1,31.4438051143,1.7774252540000002
42c__42c_ale2__1,29.0691359653,1.753271314
42c__42c_ale3__1,29.5598878722,2.489506627
42c__42c_ale4__1,20.3087318235,0.441467747
42c__42c_ale5__1,26.1724136854,2.004502254
42c__42c_ale6__1,3.6922917956,-0.43257751600000005
42c__42c_ale8__1,0.1436571754,-1.080570669
42c__42c_ale9__1,31.2411037378,2.3618647360000002
42c__42c_ale10__1,25.0838264619,0.541456201
ssw__wt_ac__1,-5.3667780657,-0.083122765
ssw__wt_glc__1,16.2736191023,1.443749003
ssw__wt_glyc__1,4.9056456015,1.458514101
ssw__wt_xyl__1,-5.4627089024,0.239087033
ssw__glc_ale1__1,-5.3202449096,0.18071463000000001
ssw__glc_ale2__1,-5.0670093804,-0.8678545320000001
ssw__glc_ale3__1,-5.6405503257,-0.43032905200000005
ssw__glyc_ale1__1,-6.2551607471,-0.22017623600000003
ssw__glyc_ale2__1,-1.732953748,-0.6450267860000001
ssw__xyl_ale1__1,22.5568597719,1.12170526
ssw__xyl_ale2__1,27.5589574735,1.807538405
ssw__xyl_ale3__1,-4.3582546392,-0.895736861
ssw__glc_ac_ac2__1,0.021514892,-1.214357268
ssw__glc_ac_glc1__1,-3.3966489234,-1.077765353
ssw__glc_glyc_glc__1,-6.073465858,-2.098721109
ssw__glc_glyc_glyc__1,0.062063808500000005,-1.41856405
ssw__glc_xyl_glc__1,-6.1005896729,-0.8073933080000001
ssw__glc_xyl_xyl__1,-5.2261950864,0.245534157
