,PA4635a
SRX7442752,-0.49663789999999997
SRX7442753,0.49663789900000005
SRX7442754,3.020483043
SRX7442755,3.215565008
SRX7442756,0.495971386
SRX7442757,1.9096283020000002
SRX7442758,0.8227174780000001
SRX7442759,2.712487688
SRX7442761,3.108137252
SRX7874204,-0.033009837
SRX7874205,0.033009837
SRX7874206,-0.504597147
SRX7874207,-0.005270602
SRX8639787,-0.057729646
SRX8639788,0.057729646
SRX8639789,0.11126627900000001
SRX8639790,-0.043946306000000004
SRX8639791,0.31595632300000004
SRX8639792,0.499670431
SRX8639793,-1.9751223640000002
SRX8639794,-1.611012702
SRX8639795,-1.327950361
SRX8639796,-2.005441345
SRX8639797,0.6424080440000001
SRX8639798,0.37481184900000003
SRX8639800,0.442120899
SRX1156127,0.229958716
SRX1156135,-0.229958716
SRX1156136,-0.446352067
SRX1156137,-0.499058333
SRX1156138,-0.16156198800000002
SRX1156140,-0.19573864500000002
ERX2195929,-0.07590615
ERX2195930,0.075906149
ERX2195931,-0.343714681
ERX2195932,-0.138846348
ERX2195933,1.050453621
ERX2195934,0.8054424240000001
SRX4579961,-0.14245538800000002
SRX4579962,-0.073977654
SRX4579963,0.21643304100000002
SRX4579964,-1.679653376
SRX4579965,-1.734650814
SRX4579966,-1.740622974
SRX5630349,-0.023924606
SRX5630350,0.023924606
SRX5630351,-0.26350247800000004
SRX5630352,-1.068716749
SRX1411278,0.148243548
SRX1411287,0.15365309800000002
SRX1411289,0.03871195
SRX1411279,-0.225700841
SRX1411280,0.07745729200000001
SRX1411281,0.337412044
SRX1411282,0.6140291
SRX1411283,0.46520207900000005
SRX1411284,0.090212331
SRX1411285,0.12174942400000001
SRX1411286,-0.24253881600000002
SRX1411288,0.205766141
SRX2711962,-0.067414601
SRX2711963,0.06741459999999999
SRX2711964,-0.121596649
SRX2711965,-0.38085999400000004
SRX2711966,-0.571456606
SRX2711967,-0.2322945
ERX3558798,-0.575852723
ERX3558799,-0.644086189
ERX3558800,-0.5567240360000001
ERX3558801,-0.53630377
ERX3558802,0.004961801
ERX3558803,-0.040097388000000005
ERX3558804,-0.057441293000000004
ERX3558805,0.092576881
ERX3593017,1.1505613270000001
ERX3593018,1.084348559
ERX3593020,0.035820284
ERX3593021,-0.009233232000000001
ERX3593022,-0.026587051
SRX7058492,-0.11577902400000001
SRX7058494,0.504862027
SRX7058495,0.467327814
SRX7058509,0.11577902400000001
SRX2662717,-1.100859413
SRX2662718,-1.389454237
SRX2662721,0.062109704
SRX2662722,-0.062109704
SRX8143226,-0.13061097200000002
SRX8143227,0.13061097200000002
SRX8143228,-0.033355791
SRX8143229,0.6052151330000001
ERX2456848,-0.45381651500000003
ERX2456849,-0.211019544
