,yejK
Cr_1,-0.0017985436252793887
Cr_2,-0.001929861754100764
Cr_3,-0.0008863568078529801
Cr_4,-0.0062416247927472215
Cr_5,-0.006984846317071477
Cr_6,-0.007759824497704959
Fe_1,-0.006109070416603943
Fe_2,-0.01930202444572828
Fe_3,-0.03011563691885465
Fe_4,-0.03898939253698341
Fe_5,-0.04333478049593378
Fe_6,-0.05031957078539873
Cd_1,0.08174030195710845
Cd_2,0.17041064670879816
Cd_3,0.2540846201621485
Cd_4,0.3323463665983681
Cd_5,0.4056946566821261
Cd_6,0.4763057920548512
Zn_1,-0.014556302482920303
Zn_2,-0.021579214690546782
Zn_3,-0.021693257085783187
Zn_4,-0.02120282670698681
Zn_5,-0.019526937853905427
Zn_6,-0.01995312707491281
Cu_1,-0.0003925007517156286
Cu_2,-6.297318131146944e-05
Cu_3,0.001198413946152319
Cu_4,0.002350026351195571
Cu_5,0.004403895390616716
Cu_6,0.007288819213736569
Pb_1,0.0031520421002331897
Pb_2,0.01192253711569517
Pb_3,0.01565044266141417
Pb_4,0.024657248882482538
Pb_5,0.040519308465481366
Pb_6,0.05061389982947349
