,dnaQ
Cr_1,-0.014131426489591353
Cr_2,-0.0210484641949404
Cr_3,-0.030185865437745308
Cr_4,-0.03915439006777168
Cr_5,-0.04692906950071759
Cr_6,-0.05275079838734241
Fe_1,-0.015042037360690413
Fe_2,-0.05146672131265043
Fe_3,-0.09541490867609323
Fe_4,-0.15249489987018836
Fe_5,-0.19761309718756287
Fe_6,-0.23573755623621515
Cd_1,-0.0007207341017589048
Cd_2,-0.00036691792716838224
Cd_3,0.001672887073382654
Cd_4,0.004949925593105439
Cd_5,0.004624792149383257
Cd_6,0.010907379165045515
Zn_1,-0.0708595356934846
Zn_2,-0.0029649688860775487
Zn_3,-0.024408103994784637
Zn_4,-0.05372650079336856
Zn_5,-0.05860187710501157
Zn_6,-0.05628526033762128
Cu_1,0.0014079744841442516
Cu_2,0.009060174066159077
Cu_3,0.012991093060608352
Cu_4,0.008460477165157932
Cu_5,0.00933286568078841
Cu_6,0.012368660645837902
Pb_1,0.001678430313206423
Pb_2,-0.0032211879085139697
Pb_3,-0.000985697192988426
Pb_4,0.00222259724445592
Pb_5,0.0026448825330821746
Pb_6,0.008401481216341994
