,yqcD
Cr_1,-0.0075690706613265315
Cr_2,-0.009870120132849994
Cr_3,-0.00473819012743678
Cr_4,-0.003423879990884405
Cr_5,-0.004708085778702059
Cr_6,-0.0045570277321721935
Fe_1,-0.0195350033810038
Fe_2,-0.0357673692013929
Fe_3,-0.052504901800072765
Fe_4,-0.06674605466791328
Fe_5,-0.0753260013342598
Fe_6,-0.08730581671990033
Cd_1,0.005762617581282486
Cd_2,0.0052013235991799035
Cd_3,0.011669539568141346
Cd_4,0.019159549621306032
Cd_5,0.017767920691617138
Cd_6,0.02183460551244609
Zn_1,-0.013342067289823942
Zn_2,0.011934199010263607
Zn_3,0.03254572423246692
Zn_4,0.07633464331404133
Zn_5,0.11802764197098645
Zn_6,0.1974598968422303
Cu_1,0.0056555236609274655
Cu_2,0.01068273321950336
Cu_3,0.01680870763491316
Cu_4,0.020217856499084558
Cu_5,0.03257779520047665
Cu_6,0.04094934954723737
Pb_1,0.0024214441701022136
Pb_2,0.01027260213251223
Pb_3,0.01934374739202197
Pb_4,0.028485139342903414
Pb_5,0.04279689530677285
Pb_6,0.056659312522970476
