,A,Cra,Mlc,Crp,NagC
R2,,0.14239683577685502,0.1387699973537626,0.05783870078682796,0.008636403927973046
xmin,,-7.2746930645,-5.016855405,-9.852476477,-4.111981838
xmid,,-1.903476036330156,-1.7228355018122001,-1.7002783106996102,
xmax,,2.4360738119,2.6084659922,2.5388323397,2.9150698085
ystart,,-3.666255479550667,-3.3776839600176536,-2.6624389721804937,-2.646345753405649
yend,,3.291063800409064,3.0304540982591073,1.7229716723329318,0.37048809585039044
aat__00m_00s__1,-0.23147472160000002,0.062006051900000005,-0.2912586913,0.0344951212,-0.0092356068
aat__00m_30s__1,0.1525398566,-0.1314214465,-0.18415487600000002,0.1435731223,-0.011277240800000001
aat__01m_00s__1,-0.1067478432,0.0314530619,-0.38908487080000004,0.2534372822,0.1831125201
aat__02m_00s__1,-0.8112617852,-0.1295274102,-0.5797168379000001,0.283920339,-0.0727427819
aat__05m_00s__1,-2.4269620688,-0.2247240932,-0.6735951472,0.3175329239,-0.0716070736
aat__10m_00s__1,-4.7114565585,-0.7116227439,-0.9569367763000001,0.17602055360000002,-0.1892561649
aat__00m_00s__2,0.5136813333,-0.1377842684,0.24599500640000002,0.005256366,-0.1073138917
aat__00m_30s__2,-0.3248723188,-0.0278778495,0.1677291243,0.2819816342,-0.0517347388
aat__01m_00s__2,-0.1196827082,-0.0861555941,-0.5773348832,0.2801678667,0.13172830160000001
aat__02m_00s__2,-1.183134386,-0.0825496888,-0.4121251265,0.4762089513,0.042467008800000004
aat__05m_00s__2,-2.9816061405000003,-0.0984813253,-0.7245865199,0.5370175003000001,-0.01104554
aat__10m_00s__2,-5.1229224402,-0.48781484950000004,-0.5669914743000001,0.5086233319,-0.07699831210000001
aat__00m_00s__3,-0.2822066117,0.07577821650000001,0.045263685000000005,-0.039751487200000005,0.11654949860000001
aat__00m_30s__3,-0.3661834547,-0.0035574465000000003,0.1050380467,0.2905320638,-0.037930941600000004
aat__01m_00s__3,-0.2595443763,-0.16898320120000002,-0.36041763320000003,0.1859933018,0.0372191891
aat__02m_00s__3,-1.5048352648,-0.3037351676,-0.2317011196,0.3699621097,0.0914273687
aat__05m_00s__3,-3.2931010345000002,-0.012594644700000001,-0.49030814030000003,0.5483756585,-0.0199528884
aat__10m_00s__3,-4.5187490557,-0.2651798535,-0.6558922863000001,0.50143841,-0.095244332
abx_mega__dmso-2__1,-1.408951447,0.7869246933,-0.2437729456,-0.4516798918,1.6269773445
abx_mega__ery_dmso__1,-10.997576454,-1.9643924144,-2.2609332685,-1.8893970692000002,-1.081950516
abx_mega__nal_naoh__1,-2.744717567,0.2616035103,-0.2784376709,-0.1701238306,1.0826720391
abx_mega__dmso-5__1,-1.4625835797,0.0813911834,-0.43636081990000003,0.1340371706,0.2668937872
abx_mega__rif_dmso__1,-1.6735066637,-1.1465008338,-0.6088964116000001,-0.8477189713000001,-0.4656958571
abx_mega__novo_h2o__1,-15.3968340894,-3.3721230493,-3.4302630035,0.1307715067,-0.7167168558
abx_mega__rach_dmso__1,-1.2056046399,0.11221218470000001,0.5601551623000001,-0.2340068764,0.2810378551
abx_mega__metro_dmso__1,-3.6728126036,-1.3980611692,-0.8434656718,-0.33700626310000004,0.6192041632
abx_mega__dmso-6__1,-2.0592616142,0.2467512605,-0.1485913069,-0.2857852433,0.6337328935000001
abx_mega__chl_h2o__1,-11.7875280879,-2.6432952439,-2.908465613,-2.9247054987,-2.0538261577
abx_mega__cst_h2o__1,0.13744022250000001,0.2581778823,0.8580330381,0.0899715865,0.8506870400000001
