,-0.0829803927294202,-0.059271709092443,-0.0355630254554658,-0.0118543418184886,0.0118543418184886,0.0355630254554658,0.059271709092443,0.0829803927294202,0.1066890763663974,0.1303977600033746,0.1541064436403518,0.177815127277329,0.2015238109143062,0.2252324945512834,0.24894117818826061,0.2726498618252378,0.296358545462215,0.3200672290991922,0.3437759127361694,0.3674845963731466
thresh,-0.0948347345479088,0.0948347345479088,11,,,,,,,,,,,,,,,,,
unreg,1,2,73,1826,1635,70,4,0,0,0,0,1,0,0,0,0,0,0,0,0
Cra,0,0,0,10,14,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sgrS,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NagC,0,0,1,7,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,1,19,233,208,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mlc and Crp,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Cra and Crp,0,0,2,12,20,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NagC and Crp,0,0,0,9,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mlc, Cra, NagC, and Crp",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mlc, sgrS, and Crp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mlc, Cra, sgrS, NagC, and Crp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],['yobD'],[],[],[],[],[],[],[],[]
