,mcrA
Cr_1,-0.0082022593120495
Cr_2,-0.008671321916110525
Cr_3,-0.01134243654597371
Cr_4,-0.016386990209867516
Cr_5,-0.012107508926899407
Cr_6,-0.012803898722453085
Fe_1,-0.0055976467641541145
Fe_2,-0.0030151610019103947
Fe_3,0.008782515247620455
Fe_4,0.0013375011295920069
Fe_5,-0.009583528697228257
Fe_6,-0.02321158189656006
Cd_1,4.90092080126412e-05
Cd_2,0.00842835647812568
Cd_3,0.030584723960870225
Cd_4,0.030860075323783005
Cd_5,0.04049548291167728
Cd_6,0.04585650202097531
Zn_1,-0.003998539562547743
Zn_2,0.010890337643107685
Zn_3,0.04203434017384468
Zn_4,0.08200431513110983
Zn_5,0.13050509245690892
Zn_6,0.18428022237635264
Cu_1,0.006292032636344499
Cu_2,0.013541402274224571
Cu_3,0.007869593462183955
Cu_4,0.005776212402122072
Cu_5,0.008272591507709679
Cu_6,0.011034202407071729
Pb_1,0.004681054905108978
Pb_2,0.00496686732096636
Pb_3,0.0037086857844239774
Pb_4,0.010341984765925044
Pb_5,0.015881373412578583
Pb_6,0.0330226191037481
