,ygeH
Cr_1,0.012761637724831196
Cr_2,0.00894195233336122
Cr_3,0.008204312443825443
Cr_4,0.007746683211192483
Cr_5,0.010888200526608991
Cr_6,0.0037784928244060955
Fe_1,-0.0112165560165741
Fe_2,-0.02530197806013422
Fe_3,-0.028408493531386487
Fe_4,-0.029742417291946644
Fe_5,-0.023369836143507246
Fe_6,-0.015196115781845253
Cd_1,0.00018339984770756427
Cd_2,0.0024029051887036906
Cd_3,0.012185892977470957
Cd_4,0.009786420595024908
Cd_5,0.02068252975804791
Cd_6,0.031074399495881408
Zn_1,-0.006511469574529702
Zn_2,-0.00498953120675767
Zn_3,0.00464202625348461
Zn_4,0.017851853592844278
Zn_5,0.03274412628950492
Zn_6,0.041985554849683984
Cu_1,0.009780625935983485
Cu_2,0.022234383074127468
Cu_3,0.02394234864800349
Cu_4,0.032329816311485134
Cu_5,0.03888789871888517
Cu_6,0.03802513671345269
Pb_1,0.0015418004586610354
Pb_2,0.0003925636124429144
Pb_3,-0.005247930930262945
Pb_4,-0.007925666055248982
Pb_5,-0.008677027754219156
Pb_6,-0.0112428354484323
