,yagZ
Cr_1,0.004229984670914436
Cr_2,0.0055662781020925905
Cr_3,0.003846399554348708
Cr_4,0.00956522011728872
Cr_5,0.011779227941891507
Cr_6,0.013164693252747509
Fe_1,-0.00984343624765662
Fe_2,-0.03167630495756727
Fe_3,-0.04908963915440325
Fe_4,-0.06649451425003736
Fe_5,-0.07155557605180476
Fe_6,-0.08137025993129895
Cd_1,0.0014111307156349944
Cd_2,0.0048248141037375725
Cd_3,0.009419321147886371
Cd_4,0.01307965048077157
Cd_5,0.009062200462741058
Cd_6,0.006108436015241253
Zn_1,-0.004721910566408019
Zn_2,-0.017019452281148643
Zn_3,-0.021459371223617168
Zn_4,-0.013463418757263331
Zn_5,-0.010356491766501727
Zn_6,-0.003183549085882001
Cu_1,0.003567678652246685
Cu_2,0.005771952362464708
Cu_3,0.013637491910517463
Cu_4,0.006295187558114655
Cu_5,0.0025302530628936487
Cu_6,0.0012960728779140161
Pb_1,0.010319080961905102
Pb_2,0.013971738401049044
Pb_3,0.020031755624086482
Pb_4,0.03012029993936134
Pb_5,0.036306483150890786
Pb_6,0.041635631597246016
