,sulA
Cr_1,-0.013716238707678595
Cr_2,-0.024733247545912697
Cr_3,-0.03449489554224367
Cr_4,-0.034883575061721316
Cr_5,-0.0306121807827673
Cr_6,-0.025529580098942826
Fe_1,-0.01634159346712684
Fe_2,-0.04555817228684518
Fe_3,-0.07318664907721754
Fe_4,-0.09986038294570998
Fe_5,-0.12326307485218088
Fe_6,-0.14104181061430726
Cd_1,0.00346984460050919
Cd_2,0.007148102508537637
Cd_3,0.012691303949887931
Cd_4,0.01442923037505231
Cd_5,0.009907373707489021
Cd_6,0.01452102844038542
Zn_1,0.001076525718239355
Zn_2,-0.0019436658517651886
Zn_3,-0.004006151879024545
Zn_4,0.0015374519730422045
Zn_5,0.003809030035119893
Zn_6,0.004674283056176084
Cu_1,0.017157238691585974
Cu_2,0.03365101598804165
Cu_3,0.052363070482372084
Cu_4,0.06429954829625116
Cu_5,0.07832671366441599
Cu_6,0.08687009187078708
Pb_1,0.014147918234883903
Pb_2,0.024525072069609532
Pb_3,0.035249280438850804
Pb_4,0.04829823097909172
Pb_5,0.06328098317098256
Pb_6,0.07802978833668907
