,ydgH
Cr_1,0.0028597970380320145
Cr_2,0.00648789887259249
Cr_3,0.006510105782612007
Cr_4,0.005697505851244935
Cr_5,0.005145415341649866
Cr_6,0.004850264801818304
Fe_1,-0.001703830654110883
Fe_2,-0.011292282600583757
Fe_3,-0.02784794288311675
Fe_4,-0.053093371148438165
Fe_5,-0.0749221545135652
Fe_6,-0.09001280432941466
Cd_1,0.000985393330285201
Cd_2,-0.0009903700498354675
Cd_3,-0.0063181551694313975
Cd_4,-0.011370347506821504
Cd_5,-0.02012090096626687
Cd_6,-0.02151118887300186
Zn_1,-0.002901499235921805
Zn_2,-0.01972012137418445
Zn_3,-0.040206177365770805
Zn_4,-0.054363588991923104
Zn_5,-0.06909110378197789
Zn_6,-0.08432007283126819
Cu_1,0.003508068507020804
Cu_2,0.004001485936097347
Cu_3,0.002905507888141258
Cu_4,0.0013459280948918619
Cu_5,-0.0016767338658681275
Cu_6,-0.001069995351762167
Pb_1,0.0006231973070897827
Pb_2,0.002410575811947618
Pb_3,0.005955129171434161
Pb_4,0.007501219586783762
Pb_5,0.005372095246411897
Pb_6,0.0023950022241802644
