,A,MetJ
R2,,0.027915195519054192
xmin,,-2.7056346535
xmid,,
xmax,,1.8663418575
ystart,,2.3908273229461465
yend,,-2.542344761097357
Rich_TF_over_stress__BHIN_Growth_Late__1,-6.25158275857799,0.7247048515000003
Rich_TF_over_stress__BHIN_Growth_Late__2,-6.851589260575232,-0.0894362534999997
Rich_TF_over_stress__BHIN_Growth_Mid__1,-7.903401546372072,-0.1562655534999999
Rich_TF_over_stress__BHIN_Growth_Mid__2,-5.277519675412723,-0.8841133315
Rich_TF_over_stress__BHIN_Growth_Stat__1,-1.5560358948822273,0.2570523095000006
Rich_TF_over_stress__BHIN_Growth_Stat__2,-0.7151501248666302,0.5040938425000006
Rich_TF_over_stress__LBv2_Growth_Late__1,-2.81318407225878,0.2748990025000006
Rich_TF_over_stress__LBv2_Growth_Late__2,-3.0137970297609216,-0.7387494174999993
Rich_TF_over_stress__LBv2_Growth_Mid__1,0.5237503393453302,0.1223113444999999
Rich_TF_over_stress__LBv2_Growth_Mid__2,-0.5237503393453354,-0.1223113444999999
Rich_TF_over_stress__LBv2_Growth_Stat__1,-5.26570146818207,-0.0555211954999999
Rich_TF_over_stress__LBv2_Growth_Stat__2,-1.98935989323366,-0.3299459505
Rich_TF_over_stress__MHB_Rich_Mid__1,-1.9909777158863244,0.0558764545000007
Rich_TF_over_stress__MHB_Rich_Mid__2,-1.1503281641035206,0.1813582215
Rich_TF_over_stress__NBO_Rich_Mid__1,-1.4464616579517726,0.0049735905000005
Rich_TF_over_stress__NBO_Rich_Mid__2,-3.39311592421238,-0.0818264734999996
Carbons__M9Na_Arabinose_Mid__1,-2.38813252975559,-1.0269484449999997
Carbons__M9Na_Arabinose_Mid__2,1.2493330292206262,-0.2865070029999987
Carbons__M9Na_Galactose_Mid__1,6.220338224198279,0.5149984090000004
Carbons__M9Na_Galactose_Mid__2,2.400749369625069,0.6559858060000012
Carbons__M9Na_GlcNAcGrowth_Late__1,-0.8130943875304202,0.0798266610000011
Carbons__M9Na_GlcNAcGrowth_Late__2,1.2766178903733647,0.3297232930000007
Carbons__M9Na_GlcNAcGrowth_Mid__1,-6.297682776920555,0.7807457240000009
Carbons__M9Na_GlcNAcGrowth_Mid__2,-4.26576085861717,0.7890153860000009
Carbons__M9Na_GlcNAcGrowth_Stat__1,5.64824990683652,-2.215183503
Carbons__M9Na_GlcNAcGrowth_Stat__2,5.059753727508762,-2.219186323999999
