,-0.14465970524572988,-0.12399403306776847,-0.10332836088980707,-0.08266268871184566,-0.06199701653388426,-0.04133134435592285,-0.020665672177961447,-2.7755575615628914e-17,0.020665672177961364,0.041331344355922756,0.061997016533884175,0.0826626887118456,0.10332836088980699,0.12399403306776838,0.14465970524572982,0.16532537742369122,0.1859910496016526,0.206656721779614,0.2273223939575754,0.24798806613553684
thresh,-0.09299552480082635,0.09299552480082635,2,,,,,,,,,,,,,,,,,
unreg,0,1,0,1,7,53,651,3016,714,48,5,0,0,0,1,0,1,0,0,0
MetJ,1,1,2,6,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],['PN96_RS10995'],[],[],[],[],[],[],[],[],[],[],[],[],['PN96_RS17870'],[],['hutH'],[],[],[]
MetJ_genes,['metR'],['metE'],['metI' 'metA'],['metQ' 'metF' 'metN' 'metL' 'metQ2' 'metB'],['metH' 'metK'],['btuB'],['gmhB' 'metJ'],['tkt' 'metT'],[],[],[],[],[],[],[],[],[],[],[],[]
