,-0.06782482120414315,-0.04844630086010225,-0.029067780516061348,-0.009689260172020445,0.009689260172020459,0.02906778051606136,0.048446300860102265,0.06782482120414315,0.08720334154818407,0.10658186189222499,0.12596038223626588,0.14533890258030677,0.16471742292434768,0.1840959432683886,0.20347446361242946,0.22285298395647038,0.2422315043005113,0.2616100246445522,0.28098854498859316,0.300367065332634
thresh,-0.0775140813761636,0.0775140813761636,7,,,,,,,,,,,,,,,,,
unreg,2,9,126,1720,1495,101,22,2,0,0,0,0,0,0,0,0,0,0,0,0
RpoS,0,0,9,107,110,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Crp,0,5,20,196,196,24,6,5,0,0,0,0,0,0,0,0,0,0,0,0
RpoS and Crp,2,0,4,33,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GalS and GalR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crp, GalS, and GalR",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"RpoS, Crp, GalS, and GalR",0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoS_genes,[],[],['narU' 'yciZ' 'ansP' 'mdtD' 'hyaE' 'patA' 'osmB' 'mdtA' 'baeS'],"['mdtC' 'asr' 'gpmA' 'evgA' 'dps' 'mdtB' 'yadV' 'rssB' 'pphA' 'cpxA'
 'ihfA' 'yeiL' 'yffP' 'yhjG' 'puuA' 'hdfR' 'ecnB' 'blr' 'insC-5' 'hyaD'
 'tpiA' 'evgS' 'rsd' 'uspB' 'murR' 'ymjE' 'pgi' 'hdeA' 'hyaB' 'yffO'
 'frdC' 'yqiI' 'yciT' 'appY' 'hdeB' 'cfa' 'cpxR' 'yggE' 'yhiD' 'msyB'
 'pdeC' 'astC' 'ydhW' 'ymgC' 'yehW' 'appC' 'sodC' 'fau' 'yehX' 'alkA'
 'ydbD' 'csgC' 'baeR' 'hyaC' 'ydhT' 'treF' 'ldcC' 'gadW' 'speG' 'rsmG'
 'hdeD' 'ybgA' 'luxS' 'alkB' 'yhfG' 'hyaA' 'yafN' 'topA' 'ydhU' 'xapB'
 'mnmG' 'cbpA' 'rraA' 'osmE' 'yafP' 'astE' 'pdeR' 'pstC' 'ftsA' 'ytfK'
 'ybiI' 'ihfB' 'pstB' 'rssA' 'osmF' 'nhaR' 'csrA' 'phr' 'talA' 'ftsQ'
 'frdD' 'appB' 'nhaA' 'yciG' 'hyaF' 'ftsZ' 'pabA' 'dinB' 'pfkA' 'artM'
 'poxB' 'ydbK' 'ppx' 'ydcT' 'iraD' 'osmC' 'cbpM']","['ybjP' 'ygiB' 'kbp' 'ydcS' 'phoU' 'appA' 'astB' 'yddG' 'ygiC' 'gor'
 'csgA' 'ydcU' 'yqiH' 'tolC' 'pfkB' 'ydhX' 'ada' 'mlrA' 'dnaN' 'ydhY'
 'ynfH' 'dmsD' 'ddpF' 'htrE' 'ompN' 'proX' 'fic' 'fbaB' 'frdB' 'artI'
 'astD' 'ynfB' 'proW' 'pcnB' 'insN' 'gyrB' 'dgcC' 'artP' 'ariR' 'proV'
 'wrbA' 'folK' 'znuA' 'ppk' 'pqiB' 'pstS' 'xthA' 'yafO' 'blc' 'dhaK'
 'yiaG' 'tktB' 'speB' 'hchA' 'yadS' 'glsA' 'ddpD' 'bolA' 'envC' 'patD'
 'hmp' 'dkgB' 'yccJ' 'aidB' 'csgB' 'ynfF' 'mutS' 'pqiA' 'ydhV' 'elaB'
 'yehY' 'pstA' 'dkgA' 'recF' 'otsB' 'otsA' 'dhaL' 'insD-5' 'ravA' 'frdA'
 'treA' 'ddpB' 'bsmA' 'eno' 'ydcV' 'yibQ' 'astA' 'ddpC' 'yihG' 'dhaR'
 'xapA' 'ybaT' 'ilvY' 'pykF' 'yabI' 'puuP' 'ynfE' 'viaA' 'artQ' 'setA'
 'sra' 'yciF' 'yhiM' 'pqiC' 'ymgA' 'mtn' 'dhaM' 'ddpX' 'pykA' 'gpmM']",['insI-1' 'yciE' 'btuF' 'ynfG' 'katE' 'glk' 'ddpA' 'ycgZ'],['adhE'],[],['sgrT'],[],[],[],[],[],[],[],[],[],[],[]
