,A,GalS,GalR,Crp,RpoS
R2,,0.1497050712872302,0.03743915464682346,0.010556219165867686,0.0
xmin,,-2.233619633,-2.8474820194999997,-9.852476477,-2.4793139040000005
xmid,,1.7404826993386056,0.999647767826673,0.4864834707010886,
xmax,,4.822382262,2.4568659214999995,1.6003325529999994,3.139938211880993
ystart,,-2.1048056331907037,-1.7653501678171288,-1.5577963574633242,-1.6831311770640176
yend,,4.289763152173662,4.798559715492697,-3.395466445492277,-1.6831311770640176
control__wt_glc__1,-0.552987345957836,0.05373407600000002,-0.0534679425000002,0.012478645999999928,-0.049727751000000715
control__wt_glc__2,0.5529873459578485,-0.05373407600000002,0.05346794249999931,-0.012478645999999928,0.049727751000000715
fur__wt_dpd__1,-1.9033266374199749,-1.2696327669999998,0.18759874549999989,0.07757413100000042,1.6503265020000004
fur__wt_dpd__2,-1.885218379587208,-1.4540212190000001,0.2200118514999989,-0.0906821709999992,1.6437026919999995
fur__wt_fe__1,-0.1481009398021698,-0.010997591999999834,-0.19005614350000052,-0.030513672999999738,-0.2294725589999995
fur__wt_fe__2,0.1322564368244579,0.30532300300000026,-0.2293089895000007,0.0581907200000007,-0.2717253760000009
fur__delfur_dpd__1,-1.793634216709257,-0.6772459069999996,0.2444759674999997,-0.10598198399999957,1.5271957219999999
fur__delfur_dpd__2,-2.269404472605367,-0.5286654289999997,0.2277067384999993,-0.22346684100000047,1.2385445819999994
fur__delfur_fe2__1,-0.2201665714446298,0.06744155099999992,-0.15101550249999995,0.4364299129999996,0.6013075319999999
fur__delfur_fe2__2,-0.3856293922569245,-0.0958328879999999,-0.1311117975000009,0.36756339300000107,0.6226109219999998
acid__wt_ph5__1,-1.0787231672488884,-0.2524686799999998,0.1574433734999996,0.3455225730000002,0.17730274899999898
acid__wt_ph5__2,-0.8422952003192357,-0.23037420899999986,0.3103926415,0.34313646300000045,0.18070148099999986
acid__delgadx_ph5__2,-0.2949709838930142,0.03314985700000017,0.08953452849999978,0.3393877130000007,0.041918445000000304
acid__delgadw_ph5__1,-0.2088674083203406,-0.2216862289999999,0.061107991500000125,0.3838637929999997,0.13294699599999935
acid__delgadw_ph5__2,-0.2620092216195998,-0.3171142630000001,0.06996847249999938,0.3398617829999999,0.028727889000000676
acid__delgade_ph5__1,-1.257169796076114,-0.17718319499999954,0.2520127064999995,0.432408723,0.245873005
acid__delgade_ph5__2,-0.9976067314971624,-0.4921354829999998,0.27893274050000016,0.4824361929999999,0.3536770219999994
