,allR
Cr_1,0.003368064170373525
Cr_2,0.013087894718416648
Cr_3,0.029535871990895357
Cr_4,0.04907887007212787
Cr_5,0.062320586161687876
Cr_6,0.0746627308304463
Fe_1,-0.016748053007084016
Fe_2,-0.05277332148539403
Fe_3,-0.0930036594622528
Fe_4,-0.13724974538204268
Fe_5,-0.17513498100783287
Fe_6,-0.20923404219191724
Cd_1,-0.004996505130670056
Cd_2,-0.0033907157882197315
Cd_3,-0.007681136199421071
Cd_4,-0.0030699419827509835
Cd_5,-0.003029531175416017
Cd_6,-0.0005909062809677668
Zn_1,0.024434097885833627
Zn_2,0.08219347187491098
Zn_3,0.14053041143388728
Zn_4,0.2483526538265124
Zn_5,0.4568930418287408
Zn_6,0.5427846970710903
Cu_1,0.008171619702886013
Cu_2,0.019725236602285142
Cu_3,0.032472036100026684
Cu_4,0.046146746102609916
Cu_5,0.053679876255649135
Cu_6,0.06660296255399531
Pb_1,-5.141494506798954e-05
Pb_2,-5.139847275972775e-05
Pb_3,0.007341137023775913
Pb_4,0.022068453039862625
Pb_5,0.03196294792239456
Pb_6,0.046011224813117584
