,cspD
Cr_1,0.009621557364115244
Cr_2,0.015805595381693113
Cr_3,0.02508125902825495
Cr_4,0.02526272229992527
Cr_5,0.028108798360552956
Cr_6,0.018974100534488343
Fe_1,-0.017747494308409884
Fe_2,-0.05156656033710821
Fe_3,-0.10624992793439376
Fe_4,-0.17993534298213376
Fe_5,-0.24489192027481124
Fe_6,-0.2979678316720793
Cd_1,0.0010715421277687825
Cd_2,0.0010218515982194174
Cd_3,0.0002379971889798873
Cd_4,0.004561874235726722
Cd_5,0.0096760855602021
Cd_6,0.007960647784891441
Zn_1,0.003099873760753427
Zn_2,0.021020104437753144
Zn_3,0.050884606015759434
Zn_4,0.06662920997078567
Zn_5,0.08806710219187015
Zn_6,0.11222474939915364
Cu_1,-9.156695589851408e-05
Cu_2,0.008900157784754737
Cu_3,0.01518245426234625
Cu_4,0.014219647717200298
Cu_5,0.01678534950906444
Cu_6,0.021139128317196332
Pb_1,0.004297871471200699
Pb_2,0.01839006334247051
Pb_3,0.04966698013805382
Pb_4,0.08199250950807173
Pb_5,0.12032434776239845
Pb_6,0.15349510569734776
