,ygjQ
Cr_1,-0.0072156834522357485
Cr_2,-0.012356685819912776
Cr_3,7.870161716347231e-05
Cr_4,0.0012606631850227284
Cr_5,-0.00118719681124385
Cr_6,0.0013795620828260472
Fe_1,-0.003654132822972391
Fe_2,-0.0012169190467713365
Fe_3,0.015776920427973146
Fe_4,0.03776907014165111
Fe_5,0.06317204026084025
Fe_6,0.07935490916178507
Cd_1,0.006747670957075536
Cd_2,0.007326770570368511
Cd_3,0.009857663218540976
Cd_4,0.01415426163025409
Cd_5,0.013381865634854434
Cd_6,0.02100176752528035
Zn_1,0.00335331698267476
Zn_2,0.022004773059196847
Zn_3,0.05276032237266202
Zn_4,0.08058135813744459
Zn_5,0.10385454629662454
Zn_6,0.11265926111880555
Cu_1,-6.51783641602099e-05
Cu_2,-0.0010967062058166058
Cu_3,0.0033161647094538467
Cu_4,0.007224205007430855
Cu_5,0.008113479034973635
Cu_6,0.005282702568480683
Pb_1,0.012322942918085056
Pb_2,0.025614012797772867
Pb_3,0.03534087870739857
Pb_4,0.05790050687788505
Pb_5,0.07733899516104657
Pb_6,0.08840722359721814
