,yaaJ
Cr_1,0.007957831276861588
Cr_2,0.003769393673303421
Cr_3,0.009149925272732591
Cr_4,0.003848202080309012
Cr_5,0.010768868152558888
Cr_6,0.01232567850594412
Fe_1,-0.033662698256635384
Fe_2,-0.058013684157476285
Fe_3,-0.06217781814618891
Fe_4,-0.06044661185607084
Fe_5,-0.04830286777675337
Fe_6,-0.03204263259072314
Cd_1,-0.0037473452475036725
Cd_2,0.010275343273032584
Cd_3,0.04657963304231999
Cd_4,0.07081483192567993
Cd_5,0.09306101075155226
Cd_6,0.1157056318173158
Zn_1,-0.01842907856867872
Zn_2,-0.046343500013877166
Zn_3,-0.030249714095264793
Zn_4,-0.008739374398700617
Zn_5,-2.4784244715147237e-05
Zn_6,-0.002702724172036725
Cu_1,0.006435253690206018
Cu_2,0.015128901389115438
Cu_3,0.01844087730215619
Cu_4,0.01144124100327247
Cu_5,0.021604551455602198
Cu_6,0.02342325281319784
Pb_1,0.022370128645104726
Pb_2,0.0314880263686118
Pb_3,0.027468978258620755
Pb_4,0.0415946760427192
Pb_5,0.0422393252002728
Pb_6,0.037022730670918255
