,psiE
Cr_1,0.002203215397252444
Cr_2,0.0032568401280415947
Cr_3,-0.0002938049273832896
Cr_4,-0.0007741030964340633
Cr_5,0.0008053760497977997
Cr_6,0.0007362315110964218
Fe_1,-0.006572782866150001
Fe_2,-0.022213667456002683
Fe_3,-0.042429423399169136
Fe_4,-0.060140025385748724
Fe_5,-0.07281360199882325
Fe_6,-0.08351771858042394
Cd_1,0.00016993735293509496
Cd_2,0.00013820588160950488
Cd_3,0.0006092429569962624
Cd_4,0.0011599116991793527
Cd_5,-0.003031262491359523
Cd_6,0.003069341793860465
Zn_1,-0.00546587377628856
Zn_2,-0.011674117266179562
Zn_3,-0.007478846282304331
Zn_4,0.006677239774374587
Zn_5,0.016968946972742698
Zn_6,0.024697461763086882
Cu_1,0.0040404955034550345
Cu_2,0.010154504576034916
Cu_3,0.016782804529997305
Cu_4,0.022997314965903518
Cu_5,0.027788900623365517
Cu_6,0.03373580528727
Pb_1,-0.0010751890125180127
Pb_2,-0.0024512111423765953
Pb_3,-0.0019321621668715644
Pb_4,0.0019521511591186669
Pb_5,0.003734083124619466
Pb_6,0.005932414388846642
