,trxA
Cr_1,-0.014337078518112396
Cr_2,-0.0322430485759292
Cr_3,-0.03563655604207931
Cr_4,-0.03524544096497865
Cr_5,-0.02994319713820678
Cr_6,-0.031550675644694465
Fe_1,-0.004860660643059211
Fe_2,-0.015609406858879581
Fe_3,-0.015393639268196615
Fe_4,-0.024242518231985054
Fe_5,-0.02311098769320164
Fe_6,-0.008948269432682683
Cd_1,-0.005878209118063589
Cd_2,-0.00645940969483869
Cd_3,0.0018796206995639305
Cd_4,0.002101074585962304
Cd_5,0.003812086201557724
Cd_6,0.017609251741130434
Zn_1,-0.1410860027570363
Zn_2,-0.1544720022189097
Zn_3,-0.16457677478506486
Zn_4,-0.16272038150891352
Zn_5,-0.16370104435721414
Zn_6,-0.16187431609981734
Cu_1,0.010751458966849259
Cu_2,0.010970774069702078
Cu_3,0.017881598523028074
Cu_4,0.020848802702528056
Cu_5,0.023662858394737918
Cu_6,0.030875597037228013
Pb_1,0.008404306974635033
Pb_2,0.022919566176438404
Pb_3,0.033077402292138444
Pb_4,0.04679883733546696
Pb_5,0.05816359368286059
Pb_6,0.08813760529190888
