,nudE
Cr_1,0.003871673565495282
Cr_2,0.011939017251895277
Cr_3,0.02154311013458824
Cr_4,0.03449033335368794
Cr_5,0.04581466753561929
Cr_6,0.05474768667515603
Fe_1,0.0002686986136814643
Fe_2,0.0044429487552585314
Fe_3,0.011637228514108387
Fe_4,0.010858926305439413
Fe_5,0.009240846763845564
Fe_6,0.007294933748933826
Cd_1,0.01020985231459769
Cd_2,0.02497473987425557
Cd_3,0.03607265598201111
Cd_4,0.04504917969207247
Cd_5,0.04872914350379864
Cd_6,0.05736077085351824
Zn_1,-0.004873514370314929
Zn_2,-0.011091886065787978
Zn_3,-0.00848467280995311
Zn_4,-0.0020091505685425025
Zn_5,0.005449339953167617
Zn_6,0.00867890038111838
Cu_1,0.005169970663484808
Cu_2,0.005577706641152703
Cu_3,0.007411488969091626
Cu_4,0.007164189542510238
Cu_5,0.0058045061334415
Cu_6,0.004097625618993364
Pb_1,0.015047827630006188
Pb_2,0.0270132324386582
Pb_3,0.03503729988702885
Pb_4,0.04726559188110304
Pb_5,0.058773118652855914
Pb_6,0.07115364611395668
