,fldB
Cr_1,-0.012459462445742952
Cr_2,-0.018292772841089357
Cr_3,-0.022428302610495037
Cr_4,-0.03064537550075655
Cr_5,-0.04662227768389037
Cr_6,-0.05895119967673626
Fe_1,-0.029539444725779587
Fe_2,-0.04382315860205594
Fe_3,-0.04457086701142976
Fe_4,-0.038756171787692535
Fe_5,-0.024067203715522702
Fe_6,-0.0066819760195370274
Cd_1,0.003447590705791518
Cd_2,0.01054727493107635
Cd_3,0.01633647992878226
Cd_4,0.023515347284956196
Cd_5,0.024885876766027937
Cd_6,0.028681936679720462
Zn_1,-0.06890127551908402
Zn_2,-0.007594858554416917
Zn_3,-0.05470444853748967
Zn_4,-0.05012205426301826
Zn_5,-0.030293405611732795
Zn_6,-0.0015943713035733364
Cu_1,0.0031975258422605518
Cu_2,0.0054766950064110715
Cu_3,0.013725476155695979
Cu_4,0.02829210897685939
Cu_5,0.040397148155548165
Cu_6,0.050060296047791435
Pb_1,-0.00399231998012409
Pb_2,-0.003036325932655664
Pb_3,0.01343524862241625
Pb_4,0.03737848807907163
Pb_5,0.05812871695094748
Pb_6,0.07154323506306312
