,yoaE
Cr_1,0.028997695566127264
Cr_2,0.0647465012274804
Cr_3,0.0836359167389749
Cr_4,0.11852703084005757
Cr_5,0.11213313237805182
Cr_6,0.12411550650781047
Fe_1,0.004202841992813667
Fe_2,0.05404173378603619
Fe_3,0.10045560059188384
Fe_4,0.12376173628949808
Fe_5,0.1844724423427348
Fe_6,0.20267143563882228
Cd_1,-0.07041403690511715
Cd_2,-0.14040158707061162
Cd_3,-0.19570009348560116
Cd_4,-0.06316368413421637
Cd_5,0.010121219405379508
Cd_6,0.14034599047089147
Zn_1,-0.010178890327271293
Zn_2,0.06136474750020171
Zn_3,0.047301926174281264
Zn_4,0.1742807821901269
Zn_5,0.26935496712744983
Zn_6,0.2859623198410877
Cu_1,0.423286295197986
Cu_2,0.7747645827238793
Cu_3,0.6093015015774991
Cu_4,-0.037550837448226924
Cu_5,-0.07603453479548596
Cu_6,0.053863531830506683
Pb_1,-0.007704822266979485
Pb_2,-0.01206941228168971
Pb_3,-0.0417763479254586
Pb_4,-0.011924002401867985
Pb_5,0.00400933105138991
Pb_6,0.018885692735889616
