,ytfI
Cr_1,-0.0006844468497083884
Cr_2,-0.0018519067419538195
Cr_3,-0.0009268509395324496
Cr_4,0.0012921719821954525
Cr_5,0.002548261615009638
Cr_6,-0.0019381420312648413
Fe_1,-0.010471675233479895
Fe_2,-0.030701869943858106
Fe_3,-0.03504161780213127
Fe_4,-0.042013773456573915
Fe_5,-0.0491830047028887
Fe_6,-0.04525004066312156
Cd_1,-0.0004908599742604228
Cd_2,0.005187042894531169
Cd_3,0.0077259382921903985
Cd_4,0.010191517915466623
Cd_5,0.004456865907668085
Cd_6,0.005073674313203325
Zn_1,-0.017032475813395134
Zn_2,-0.019986067065606614
Zn_3,-0.00853974273551928
Zn_4,0.003267312378953392
Zn_5,0.012477633722257913
Zn_6,0.019561174752480183
Cu_1,0.007147576870135417
Cu_2,0.009551154582511738
Cu_3,0.008560817378674201
Cu_4,0.012441033202336024
Cu_5,0.02181005666727501
Cu_6,0.03219303374328758
Pb_1,0.0005620871560735132
Pb_2,0.00044902828554361406
Pb_3,0.007451661588064708
Pb_4,0.01028232464109562
Pb_5,0.015587369247531287
Pb_6,0.018348155035829358
