,soxS
Cr_1,0.005874248269448657
Cr_2,0.012746024584557784
Cr_3,0.026232691413961985
Cr_4,0.036770893139070296
Cr_5,0.04486575511327031
Cr_6,0.05151352416866602
Fe_1,-0.003669959980114567
Fe_2,-0.012726726420397998
Fe_3,-0.021584783153669795
Fe_4,-0.02507768503077506
Fe_5,-0.024263134471700854
Fe_6,-0.020656959055968132
Cd_1,0.007208950485151276
Cd_2,0.016835079732558673
Cd_3,0.024974611996899262
Cd_4,0.034405400182262666
Cd_5,0.03778295762421119
Cd_6,0.0460650278255533
Zn_1,-0.00019803822891063919
Zn_2,-0.0009174842298880466
Zn_3,0.005088023865852048
Zn_4,0.008704059197072336
Zn_5,0.01973642140416384
Zn_6,0.03456510134902039
Cu_1,0.008112531436442734
Cu_2,0.014274177396114331
Cu_3,0.016042541840163613
Cu_4,0.01953012738421444
Cu_5,0.02197275840697973
Cu_6,0.03038469362518235
Pb_1,0.0037508223349427077
Pb_2,0.005092685200529339
Pb_3,0.006252311804109115
Pb_4,0.010901253268970646
Pb_5,0.01084185331214163
Pb_6,0.008666321169178141
