,regulator_locus,gene_id,regulator_new,gene_id_new,source,regulator
0,PSPTO_1158,PSPTO_1157,PSPTO_RS06115,PSPTO_RS06110,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,RutR
1,PSPTO_1158,PSPTO_1156,PSPTO_RS06115,PSPTO_RS06105,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,RutR
2,PSPTO_1158,PSPTO_1155,PSPTO_RS06115,PSPTO_RS06100,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,RutR
3,PSPTO_1158,PSPTO_1154,PSPTO_RS06115,PSPTO_RS06095,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,RutR
4,PSPTO_1158,PSPTO_1153,PSPTO_RS06115,PSPTO_RS06090,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,RutR
5,PSPTO_1158,PSPTO_1158,PSPTO_RS06115,PSPTO_RS06115,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,RutR
6,PSPTO_1823,PSPTO_1823,PSPTO_RS09500,PSPTO_RS09500,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,PhhR
7,PSPTO_1823,PSPTO_1822,PSPTO_RS09500,PSPTO_RS09495,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,PhhR
8,PSPTO_1823,PSPTO_1821,PSPTO_RS09500,PSPTO_RS09490,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,PhhR
9,PSPTO_1299,PSPTO_1299,PSPTO_RS06850,PSPTO_RS06850,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,HexR
10,PSPTO_1299,PSPTO_1288,PSPTO_RS06850,PSPTO_RS06800,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,HexR
11,PSPTO_1299,PSPTO_1289,PSPTO_RS06850,PSPTO_RS06805,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,HexR
12,PSPTO_1299,PSPTO_1290,PSPTO_RS06850,PSPTO_RS06810,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,HexR
13,PSPTO_1299,PSPTO_1291,PSPTO_RS06850,PSPTO_RS06815,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,HexR
14,PSPTO_1299,PSPTO_1300,PSPTO_RS06850,PSPTO_RS06855,RegPrecise; https://regprecise.lbl.gov/genome.jsp?genome_id=270,HexR
