,yfcD
Cr_1,-0.0019037914592976558
Cr_2,-0.006322022955584218
Cr_3,-0.016250504095953064
Cr_4,-0.02384335701738131
Cr_5,-0.030419505318610433
Cr_6,-0.0314284101154225
Fe_1,-0.003418147974560485
Fe_2,-0.005072154483657709
Fe_3,-0.006097910972287018
Fe_4,-0.012237552344588835
Fe_5,-0.016356858360303074
Fe_6,-0.025536563276113262
Cd_1,0.0024679925777936914
Cd_2,0.006751743349880004
Cd_3,0.01118379256044896
Cd_4,0.015308917145306897
Cd_5,0.013684408720885064
Cd_6,0.019200002781915058
Zn_1,0.002296230304346773
Zn_2,0.006716381436305664
Zn_3,0.01673510698720072
Zn_4,0.037110532920834
Zn_5,0.05012337684720388
Zn_6,0.06620038573533532
Cu_1,0.0012188764002885428
Cu_2,0.0003005383075833045
Cu_3,0.005890668068624647
Cu_4,0.0072402693554656904
Cu_5,0.011478161819187838
Cu_6,0.01460896982279015
Pb_1,0.0031991543873542577
Pb_2,0.008481602385781791
Pb_3,0.013471507492048809
Pb_4,0.016527320144034994
Pb_5,0.018142819307574626
Pb_6,0.020849918662268697
