,aegA
Cr_1,-0.0011942264283865875
Cr_2,-2.0984453196203375e-05
Cr_3,0.004459950473713735
Cr_4,0.00789323803297287
Cr_5,0.0066390576477395385
Cr_6,0.011317334554554316
Fe_1,-0.009305710234924951
Fe_2,-0.021845436760570332
Fe_3,-0.032532481995236534
Fe_4,-0.0413956374628446
Fe_5,-0.041472390509721256
Fe_6,-0.03991260174361899
Cd_1,2.1451509885859373e-05
Cd_2,-0.001878972408630439
Cd_3,-0.003246714093495172
Cd_4,-0.0071817246384975
Cd_5,-0.015426721245026784
Cd_6,-0.015857015037412783
Zn_1,-0.007567033233114379
Zn_2,-0.0106030088839814
Zn_3,-0.0015183816206460925
Zn_4,0.008553106915708156
Zn_5,0.013335381946971285
Zn_6,0.0190185437406258
Cu_1,0.0052835779656822774
Cu_2,0.008170655298135529
Cu_3,0.012633496117626418
Cu_4,0.017753751649617348
Cu_5,0.028762263560118618
Cu_6,0.0355417770022718
Pb_1,0.008196867914142716
Pb_2,0.016188353899573408
Pb_3,0.025471647169732558
Pb_4,0.03528992930846903
Pb_5,0.04594379833955919
Pb_6,0.059861158337282463
