,hfq
Cr_1,-0.0008039535988644509
Cr_2,0.0002962934848233658
Cr_3,0.009580336148860393
Cr_4,0.013871739711270571
Cr_5,0.017222139566295282
Cr_6,0.021830899224229882
Fe_1,-0.014177319876450788
Fe_2,-0.037964547209559024
Fe_3,-0.06307658349559751
Fe_4,-0.08944248311241036
Fe_5,-0.11793945286807035
Fe_6,-0.13497768144711456
Cd_1,0.0008482687441814517
Cd_2,-0.0004571315462772594
Cd_3,0.002100215895192805
Cd_4,0.000516215111849704
Cd_5,-0.0041719978323947774
Cd_6,-0.005481850929872649
Zn_1,0.0075563263427893485
Zn_2,0.009659083635150422
Zn_3,0.019484220042656503
Zn_4,0.0342173924536344
Zn_5,0.045483939663797934
Zn_6,0.05968014174448651
Cu_1,0.002641452046957436
Cu_2,0.005902329046404124
Cu_3,0.01748014271934365
Cu_4,0.025158251877360243
Cu_5,0.029869537143283324
Cu_6,0.0359287473852797
Pb_1,0.005167737480581081
Pb_2,0.005064065659026519
Pb_3,0.008792342038910755
Pb_4,0.014838530416267915
Pb_5,0.016167393880232906
Pb_6,0.022372976357149958
