,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,3.33333360913457e-11,1.087341700488498,3.0,0.0,-0.4646837159,1.0,1.2424724222,2.0,-0.7777887062000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,2.4260085385666663,0.1439595348164356,3.0,3.0,2.5809165915,4.0,2.400774901,5.0,2.2963341232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,1.614802114233333,0.5366249736023652,3.0,6.0,1.6097368711,7.0,1.0807276917,8.0,2.1539417799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,5.28677630773884e-18,2.4014198289798196,21.0,9.0,4.1498604044,10.0,1.5049077622,11.0,-0.4061991263,12.0,1.0321382657,13.0,1.1200866127,14.0,-0.36058214860000004,15.0,2.3553340511,16.0,-0.9722101171,17.0,-1.0471743003,18.0,0.7004205086,19.0,-0.1356848391,20.0,-8.3460356295,21.0,-1.027788186,22.0,0.48999367320000004,23.0,-0.27533092200000003,24.0,-0.774835213,25.0,1.3471949007,26.0,-0.8894647234,27.0,-0.7925021659,28.0,3.1087244026,29.0,-0.78085321
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,4.683183217657143,1.80264748836736,21.0,30.0,0.7218686088,31.0,4.3328665672,32.0,3.3732967011,33.0,4.4057725192,34.0,2.9476334516,35.0,5.2939785825,36.0,2.8606803255,37.0,3.8475515553,38.0,2.7940901875,39.0,5.0749108526,40.0,4.3880777269,41.0,5.6203891849000005,42.0,7.7496725641,43.0,5.7888081726,44.0,8.4578984577,45.0,4.9901284028,46.0,7.0080095701,47.0,5.8269213193,48.0,5.1312751819,49.0,2.8480321285,50.0,4.8849855107
5,WT_vs_Del_ccpA__THY_None_WT_exponential,-9.25185853854297e-18,0.5226321282697782,3.0,51.0,-0.4348763505,52.0,0.5798002336,53.0,-0.1449238831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,5.3288619635500005,0.8034730683799225,4.0,54.0,5.7438899803,55.0,4.682337079,56.0,4.6323084727,57.0,6.2569123222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-8.673617379884035e-18,0.31250266966223195,4.0,58.0,-0.41876449730000004,59.0,0.0415235562,60.0,0.3381705991,61.0,0.039070342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,1.221779533025,0.38837242988708515,4.0,62.0,1.1073474627,63.0,1.6687258200000001,64.0,1.3591347586,65.0,0.7519100908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,1.0514481496249999,0.36165306189253393,4.0,66.0,0.752171652,67.0,0.8409318937,68.0,1.0528184235,69.0,1.5598706293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
