,A,MelR,AcoR,IolR
R2,,0.6395136909777943,0.49988545837619713,0.3370625478806142
xmin,,7.0502,7.268,8.9755
xmid,,8.83901557784966,10.094834920213199,
xmax,,14.542,13.394,15.084
ystart,,1.8936141795131007,1.7985726061130123,-6.311419885883048
yend,,33.16631046047096,19.43061100095956,24.003803714468482
LBexp_1,5.9517748605000005,8.5783,10.321,12.1394
LBexp_2,2.8694262654,8.1825,9.7791,11.3805
LBexp_3,2.7371286682,7.7779,9.1359,11.0598
LBtran_1,18.9150211501,12.2005,13.1707,13.2566
LBtran_2,18.0700236494,12.6921,11.7574,13.7559
LBtran_3,13.1661745249,12.2213,11.2993,13.1585
LBstat_1,6.0419177365,11.5652,12.44,10.3794
LBstat_2,1.8808029796999999,8.4861,11.9985,9.7558
LBstat_3,3.8472117722,8.9492,12.0019,9.6153
LBGexp_1,2.2184356083,7.8748000000000005,8.1014,11.5455
LBGexp_2,0.9296520134,7.6622,7.9438,11.4637
LBGexp_3,2.1885591296,8.0577,8.1333,11.6608
LBGtran_2,-0.5727723826000001,7.8119,7.9272,10.4122
LBGtran_3,-1.9955304960000002,8.132,8.1874,10.9725
LBGstat_1,2.4829210629,7.2213,7.4084,10.8425
LBGstat_2,2.9757678053000003,7.242,7.4224,10.735
LBGstat_3,3.2263849573,7.8079,7.9753,10.536200000000001
S0_1,7.2650437869,9.3742,10.1872,11.299
S0_2,5.6682008452,9.5752,10.3466,11.1195
S0_3,5.9534350952,10.3502,10.657,11.0286
S1_1,11.3286453698,11.9031,11.7948,12.3549
S1_2,12.9404213413,11.8918,11.9941,12.3346
S1_3,12.5566350482,12.1846,12.1694,12.4434
S2_1,5.1887560914,8.4581,10.8903,11.6983
S2_2,6.1993657167,8.8847,11.0697,11.4267
S2_3,5.3428128801,8.5525,10.6316,11.246
S3_1,2.8068869054,8.739,10.9375,11.8059
S3_2,2.7267499697,9.5513,11.1323,11.6856
S4_1,4.9151240731,10.3145,12.0351,11.8917
S4_2,4.2381590524,9.7916,12.1678,11.3549
S4_3,4.7301000115,9.4953,11.3942,11.2795
S5_1,4.5656949647000005,9.7771,12.3,11.3204
S5_2,5.2351259185,10.663499999999999,12.997,11.8636
S5_3,3.9832697177,10.1163,12.5055,11.6994
S6_1,9.1055966827,9.8643,12.6497,10.9987
S6_2,14.4826626921,9.4569,11.5199,9.4865
S6_3,6.338741829,9.8278,12.3297,11.2818
S6/t_1,8.2856602791,10.1128,12.5248,10.7961
S6/t_2,13.6328731963,9.0415,10.8452,8.9755
S6_4,4.0386131512,8.9585,11.382,10.2933
S6_5,4.2976896191,9.3995,12.1651,10.8164
