,yfjP
Cr_1,0.0041572794573905185
Cr_2,0.011799360033923116
Cr_3,0.023551845083918863
Cr_4,0.03931460008191414
Cr_5,0.06425077265103282
Cr_6,0.08604440133536734
Fe_1,-0.021137459293543864
Fe_2,-0.08150085448078788
Fe_3,-0.1330963304099412
Fe_4,-0.19315713118223188
Fe_5,-0.2304879786641327
Fe_6,-0.25924554374906544
Cd_1,0.0030203122750250577
Cd_2,0.009864012640024455
Cd_3,0.017607652351315662
Cd_4,0.02516005534775705
Cd_5,0.02711308168568002
Cd_6,0.03479634484291632
Zn_1,0.003532611264866151
Zn_2,-0.00044467512375104913
Zn_3,0.006262652877596813
Zn_4,0.007734208153954957
Zn_5,0.007079237616292989
Zn_6,0.02318579553418865
Cu_1,0.008919730552343946
Cu_2,0.016668703336838512
Cu_3,0.03195520132405872
Cu_4,0.04263719983829682
Cu_5,0.047537869148843136
Cu_6,0.0611089903861141
Pb_1,-0.0015100335646222266
Pb_2,0.0031526710860894603
Pb_3,0.005381842001858457
Pb_4,0.00933288524307175
Pb_5,0.006980253881041607
Pb_6,0.0036637110900344244
