,A,CsqR
ecoli_00138,2.215054286,0.065044081
ecoli_00139,1.7923790332,0.586969179
ecoli_00140,1.0034214879,0.17288087700000002
ecoli_00141,1.3049989123999999,0.717319777
ecoli_00142,1.209488596,0.360508365
ecoli_00143,0.9211278489,-1.5153899929999999
ecoli_00144,1.8838799747000001,-0.6365071440000001
ecoli_00145,-1.8430033768,-1.1617190640000001
ecoli_00146,3.5702942008000003,0.8447466770000001
ecoli_00147,1.9234374596000001,0.506120081
ecoli_00148,0.35549187590000003,0.07645365600000001
ecoli_00149,2.3372563461,0.432651436
ecoli_00150,0.7940143117,0.032830684
ecoli_00151,3.0282744612,0.732119147
ecoli_00152,1.0967288756,0.6563828930000001
ecoli_00153,2.7638256126,0.277493405
ecoli_00154,0.8735515517,-0.33979604700000005
ecoli_00155,2.3064376414,0.23413177300000002
ecoli_00157,1.4888475617,0.09712894700000001
ecoli_00158,2.3470178343,0.663565207
ecoli_00159,0.2867399163,0.34411220800000003
ecoli_00160,0.5709660809,0.091433807
ecoli_00169,1.1044886828,-0.37399110300000005
ecoli_00170,0.5392612001,-0.320939959
ecoli_00171,0.0537634896,-0.15547734900000001
ecoli_00172,0.1358110913,-0.20754666600000002
ecoli_00173,3.9453699124,-0.252947217
ecoli_00174,1.5019114071000002,-0.28331325
ecoli_00175,4.1655592447,1.177882488
ecoli_00176,4.6545609097,1.037950709
ecoli_00177,-1.0332655085,-1.40746444
ecoli_00178,-0.6289408637,-1.51214235
ecoli_00179,0.7088761922,-0.6557696510000001
ecoli_00180,0.6054778383,-0.71255904
ecoli_00181,1.1078506927,-0.47849114800000003
ecoli_00182,0.3062831773,-0.30009822
ecoli_00183,-0.4794064317,-0.540454878
ecoli_00184,-0.15285900530000002,-0.38122791100000003
ecoli_00185,0.5085437083000001,-0.19129135500000002
ecoli_00186,0.7022853581,-0.468496497
ecoli_00187,2.1934865112,0.299948506
ecoli_00188,2.6005745825,0.271190951
ecoli_00189,0.1546038313,-0.36567001
ecoli_00190,0.4604038528,-0.44130088900000003
ecoli_00191,0.5292653242,-0.117110826
ecoli_00192,0.6404643963000001,0.111295477
ecoli_00193,0.5951722493,0.055046937000000004
ecoli_00194,0.4021756413,-0.12658106700000002
ecoli_00195,0.6209781497,-0.252821654
ecoli_00196,0.25545093950000003,0.400371234
ecoli_00197,0.18760505100000002,0.209299008
ecoli_00198,0.9496355249,-0.574802761
ecoli_00199,0.5747837737,-0.059161046
ecoli_00200,1.1385191569,0.40745481600000005
ecoli_00201,2.0721339178,0.313438262
ecoli_00202,1.6863801445000002,0.42204858
ecoli_00203,1.1326173768,0.44973747300000005
ecoli_00204,1.1990628457,0.19070541600000002
ecoli_00205,1.7878576585000001,0.195041288
ecoli_00206,1.1297251632,0.25753126600000004
ecoli_00207,1.4975494761,0.46354303500000005
ecoli_00208,1.0638183378,0.23283968
ecoli_00209,0.1000858964,-0.079517971
ecoli_00210,-0.0821228349,-0.055945279
ecoli_00211,0.1779791878,-0.17561622400000002
ecoli_00212,1.1847308397,-0.327989228
ecoli_00213,2.5855891847,0.604956331
ecoli_00214,2.3389131942,0.8041929999999999
ecoli_00215,-0.1348490681,-0.217080133
ecoli_00216,0.5206168087,-0.11957094300000001
ecoli_00217,1.3121116679,-0.077806098
ecoli_00218,2.0235327415,0.535816649
ecoli_00219,-0.9490951961,-0.28485783200000003
ecoli_00220,-0.3367002002,-0.376731519
ecoli_00221,-0.19499674520000002,-0.082767951
ecoli_00222,0.2581743292,-0.29154960900000004
ecoli_00223,0.1232973061,-0.02876519
ecoli_00224,-0.1443771627,0.08352849500000001
ecoli_00225,2.8340904498,0.46463475400000004
ecoli_00226,2.1927168959,0.524885201
ecoli_00227,0.1640141095,0.009261801
ecoli_00228,-0.3649298344,-0.232096664
ecoli_00229,0.28968355490000003,-0.103587839
ecoli_00230,0.7495990237,-0.393007543
ecoli_00231,0.8782871939,-0.224700541
ecoli_00232,0.8112137595000001,-0.105755288
ecoli_00233,0.5494739495000001,-0.23065109
ecoli_00234,0.058393496700000005,-0.165816867
ecoli_00235,-0.5913050934,-0.48714726
ecoli_00236,0.0979502087,-0.48485568900000003
ecoli_00237,1.4854851079,0.32257368000000003
ecoli_00238,2.2359558867000002,0.368531594
ecoli_00239,2.0009610347,0.207150042
ecoli_00240,1.4505625299,0.110026098
ecoli_00241,32.6976375554,4.897041648
ecoli_00242,31.2240851037,4.424869618
ecoli_00243,31.5111671181,4.408543768
ecoli_00244,31.3374201934,4.551177438
ecoli_00245,31.3405495498,4.485553278
ecoli_00246,1.6766902141000002,1.503521898
ecoli_00247,1.5272067894,1.190568489
ecoli_00248,2.9020469657,1.398513918
ecoli_00249,1.9632216758,0.24966776100000002
ecoli_00250,0.8681336562,0.189516283
ecoli_00251,2.0347910759,0.46552037700000004
ecoli_00252,2.0706974655,0.513942121
ecoli_00253,2.0821853745,0.467840409
ecoli_00254,2.2921068359,0.6325101280000001
ecoli_00255,1.2695005027000001,0.798835446
ecoli_00256,1.1346099389,0.847161538
ecoli_00257,1.9967492945,0.795907806
ecoli_00258,1.9493199282,0.609845449
ecoli_00259,2.5024520786,0.471319845
ecoli_00260,1.6390821355,0.683866545
ecoli_00261,1.3664365594,0.5398578620000001
ecoli_00262,1.1055218304,0.638421464
ecoli_00263,1.3099168759,-0.258739113
ecoli_00264,0.348358856,-0.365302793
ecoli_00265,0.3809035685,-0.28077169500000004
ecoli_00266,0.3485756883,-0.29521310100000003
ecoli_00267,2.3368661869,0.7346635460000001
ecoli_00268,2.3972152116,0.67123453
ecoli_00269,2.3402062186,0.006526461000000001
ecoli_00270,3.596194757,0.050746101
ecoli_00271,3.0480743208,-0.041119409
ecoli_00272,1.882287007,-0.180139467
ecoli_00273,-0.06976075600000001,0.051015599
ecoli_00274,0.3228750647,-0.059448047000000004
ecoli_00275,-0.23053002620000002,-0.241007136
ecoli_00276,-0.2224563634,-0.22108814400000001
ecoli_00277,1.4311857202,0.11324653300000001
ecoli_00278,1.6921640787,0.080846131
ecoli_00279,-0.5862649950000001,-0.5870225530000001
ecoli_00280,-0.9157216052,-0.388707899
ecoli_00281,-0.5232781675,-0.84584369
ecoli_00282,-1.0621266712,-0.227469995
ecoli_00283,0.1355454613,0.018501539
ecoli_00284,0.8774210005,0.15564360200000002
ecoli_00285,0.8192671969,-0.15928662300000002
ecoli_00286,0.4947003735,0.067548864
ecoli_00287,2.1069367733,0.24056922800000002
ecoli_00288,2.2171073079,0.227678813
ecoli_00289,1.1016309831,-0.157400261
ecoli_00290,0.4129156251,-0.21597222100000002
ecoli_00291,0.9247159982000001,-0.017824241
ecoli_00292,0.901240087,0.016246262
ecoli_00293,0.779372504,-0.132265994
ecoli_00294,0.4009007257,-0.261665
ecoli_00295,1.3766512872,-0.45273842500000006
ecoli_00296,1.1332645689,-0.628377984
ecoli_00297,0.5472211719,-0.268625059
ecoli_00298,1.0918285552,-0.03341596
ecoli_00299,0.6701245987000001,-0.30129999100000004
ecoli_00300,0.5530310531,-0.21538093300000002
ecoli_00301,1.479529971,-0.10093930500000001
ecoli_00302,2.6057801677,0.20640677500000001
ecoli_00303,0.3277398333,0.020306655
ecoli_00304,0.7449080199,-0.20858242500000002
ecoli_00305,1.6308652831,0.407276635
ecoli_00306,2.0807778565,0.067978275
ecoli_00307,3.3344761112,0.34631879600000004
ecoli_00308,1.7620224,0.34229597500000003
ecoli_00309,3.7856841682,0.5520181150000001
ecoli_00310,3.7350844797000002,0.687804376
