,BSU_misc_RNA_44
M9exp_1,14.1065
M9exp_2,13.8193
M9exp_3,13.9213
M9tran_1,13.4228
M9tran_2,13.205
M9tran_3,13.7181
M9stat_1,12.0061
M9stat_2,11.7011
M9stat_3,11.4923
MG-0.1_1,14.0634
MG-0.1_2,13.147
MG-0.1_3,14.7876
MG-0.2_2,13.9439
MG-0.2_3,14.5779
MG+5_1,14.0789
MG+5_2,13.8197
MG+5_3,13.7907
MG+10_1,14.1934
MG+10_2,14.2977
MG+10_3,13.2138
MG+15_1,13.394
MG+15_2,14.6684
MG+15_3,14.4289
MG+25_1,13.9014
MG+25_2,13.9292
MG+25_3,14.3712
MG+45_1,14.2764
MG+45_2,13.5135
MG+45_3,14.5808
MG+60_2,14.024
MG+60_3,13.9106
MG+90_2,13.5322
MG+90_3,14.3267
MG+120_1,13.2373
MG+120_2,13.8612
MG+120_3,13.761
MG+150_1,13.7558
MG+150_3,14.327
GM-0.1_1,13.7496
GM-0.1_2,13.85
GM-0.1_3,13.9099
GM-0.2_1,13.6935
GM-0.2_2,14.3161
GM-0.2_3,13.7781
GM+5_1,13.6906
GM+5_2,14.0723
GM+5_3,14.1864
GM+10_2,14.0705
GM+10_3,13.4094
GM+15_1,13.9523
GM+15_2,14.1762
GM+15_3,14.2631
GM+25_1,14.3651
GM+25_2,14.2933
GM+25_3,13.7917
GM+45_1,14.4762
GM+45_2,13.262
GM+45_3,13.1231
GM+60_1,14.5147
GM+60_2,13.4516
GM+60_3,13.0975
GM+90_1,14.068
GM+90_2,14.1547
GM+90_3,13.805
GM+120_1,13.2994
GM+120_3,13.5537
GM+150_1,13.6471
GM+150_2,13.0703
GM+150_3,13.6936
BT_1,12.1702
BT_2,11.785
B36_1,13.3431
B36_2,12.9986
B60_1,12.9954
B60_2,13.2578
S0_1,11.8892
S0_2,12.0491
S0_3,12.2094
S1_1,13.6765
S1_2,13.6218
S1_3,13.7202
S2_1,12.856
S2_2,12.4893
S2_3,12.472
S3_1,13.4852
S3_2,13.4646
S4_1,13.8936
S4_2,13.498
S4_3,13.3377
S5_1,13.8248
S5_2,14.007
S5_3,14.0164
S6_1,13.4501
S6_2,12.2177
S6_3,13.7009
S6/t_1,13.456
S6/t_2,12.0613
S6_4,13.4201
S6_5,14.0091
S6_6,14.0372
S7_4,14.0269
S7_5,13.817
S7_6,13.4331
S8_4,13.247
S8_5,12.9089
G135_1,14.0828
G135_3,12.217
G150_1,13.9145
G150_2,14.2738
G150_3,14.483
G180_1,14.0754
G180_2,14.3308
G180_3,13.5016
T-5.40H_1,14.015999999999998
T-4.40H_1,13.9289
T-3.40H_1,13.8909
T-2.40H_1,13.4839
T-1.40H_1,13.2874
T-1.10H_1,13.2549
T-0.40H_1,13.2874
T0.0H_1,13.1577
T0.30H_1,11.892
T1.0H_1,11.7904
T1.30H_1,12.5117
T2.0H_1,12.6136
T2.30H_1,13.432
T3.0H_1,12.4302
T3.30H_1,12.6667
T4.0H_1,12.7999
T5.0H_1,12.3059
LBexp_1,14.2574
LBexp_2,14.0036
LBexp_3,13.6056
LBtran_1,13.2767
LBtran_2,13.115
LBtran_3,12.7224
LBstat_1,12.1702
LBstat_2,11.5191
LBstat_3,10.880999999999998
LBGexp_1,14.2782
LBGexp_2,14.2243
LBGexp_3,14.2212
LBGtran_2,12.6153
LBGtran_3,14.2265
LBGstat_1,11.3255
LBGstat_2,10.4706
LBGstat_3,11.8032
Mt0_1,14.0946
Mt0_3,14.0838
M0t45_1,13.6319
M0t45_2,13.335
M0t45_3,13.8435
M0t90_1,11.4377
M0t90_2,12.6141
M0t90_3,12.2772
M40t45_1,13.026
M40t45_2,12.9972
M40t45_3,14.1183
M40t90_1,11.463
M40t90_2,12.3124
M40t90_3,12.4791
dia0_1,13.936
dia0_2,14.0755
dia0_3,14.3063
dia5_1,13.3069
dia5_2,13.5741
dia5_3,13.765
dia15_1,13.7832
dia15_2,14.384
dia15_3,13.9113
C30_1,12.9903
C30_2,13.5365
C90_1,14.1424
C90_2,14.2698
SMM_1,13.7783
SMM_2,13.6409
SMM_3,13.6894
Salt_1,12.9128
Salt_2,12.6874
Salt_3,12.6906
M+G_1,12.7953
M+G_2,13.2722
M+G_3,13.3994
Glu_1,14.0225
Glu_2,13.6624
Glu_3,13.856
Fru_1,13.8308
Fru_2,13.6471
Fru_3,13.1527
Mal_1,12.0096
Mal_2,13.1839
Mal_3,12.9474
G+S_2,13.3732
G+S_3,13.5801
Pyr_1,12.8531
Pyr_2,13.3864
Pyr_3,13.1838
Gly_1,11.415
Gly_2,12.4339
Gly_3,10.8013
Glucon_1,12.8762
Glucon_2,13.2717
Glucon_3,11.8865
BI_1,13.5396
BI_2,13.6326
BC_2,13.2308
BC/t_1,13.8802
BC/t_2,13.8236
BC_1,13.1287
Sw_1,13.545
Sw_2,13.2233
BMM_1,13.9433
BMM_2,13.6951
BMM_3,13.7126
Heat_1,14.1156
Heat_2,14.0033
Heat_3,13.3531
Cold_1,13.156
Cold_2,12.3432
Cold_3,11.5097
Etha_1,12.4029
Etha_2,12.0718
Etha_3,12.5248
SMMPr_1,13.438
SMMPr_2,13.213
SMMPr_3,13.3961
HiTm_1,12.0556
HiTm_2,13.8198
HiTm_3,14.0404
LoTm_1,13.446
LoTm_2,13.4435
LoTm_3,13.3761
HiOs_1,14.1353
HiOs_2,13.9468
HiOs_3,13.8485
Oxctl_1,13.6566
Oxctl_2,13.7311
Oxctl_3,14.2081
Diami_1,13.7292
Diami_2,13.6438
Diami_3,13.617
Paraq_1,13.9604
Paraq_2,14.1972
Paraq_3,12.3256
H2O2_1,13.0959
H2O2_2,13.5563
H2O2_3,13.2703
HPh_1,14.3335
HPh_2,14.1768
HPh_3,14.6011
LPh_1,14.238
LPh_2,14.5086
LPh_3,13.9183
LPhT_1,13.1047
LPhT_2,12.8177
LPhT_3,12.7978
aero_1,14.2779
aero_2,12.763
aero_3,13.8911
nit_1,13.3443
nit_2,13.5215
nit_3,12.9844
ferm_1,12.7983
ferm_2,12.5699
ferm_3,13.0701
