,rhaD
Cr_1,8.664038072790588e-05
Cr_2,0.009265817984427771
Cr_3,0.012054746785220245
Cr_4,0.019506576324417192
Cr_5,0.03451306200225863
Cr_6,0.03402495669651619
Fe_1,-0.013938638639902022
Fe_2,-0.03707263840220048
Fe_3,-0.056568129725098
Fe_4,-0.08338225395576666
Fe_5,-0.10351556694637076
Fe_6,-0.12193034850919655
Cd_1,0.008770485783846434
Cd_2,0.01664072243106195
Cd_3,0.02096902980149268
Cd_4,0.021669340246491527
Cd_5,0.016987277788441873
Cd_6,0.014517364571942006
Zn_1,-0.01339402317586418
Zn_2,-0.017768054686813268
Zn_3,-0.011810571096248891
Zn_4,-0.004953596670687101
Zn_5,0.0015514555564099016
Zn_6,0.010372974016634926
Cu_1,0.0030875149168199893
Cu_2,0.005196963640581005
Cu_3,0.012485163234166242
Cu_4,0.013817656392066243
Cu_5,0.017342096856000848
Cu_6,0.012814408241239462
Pb_1,0.0008513814291991798
Pb_2,0.005315371295065713
Pb_3,0.012893440286696856
Pb_4,0.023891614668140455
Pb_5,0.03339774573929912
Pb_6,0.040285585932732716
