,A,PvdS
R2,,0.4955511419775712
xmin,,-3.8792168355
xmid,,
xmax,,4.597423805749999
ystart,,-13.69193459831721
yend,,14.086323188548928
ALE:GalactoseA5:1.0,-13.98682744998878,-2.04514720525
ALE:GalactoseA5:2.0,-13.227989801170454,-2.18681707025
ALE:GalactoseA6:1.0,-13.660591325995217,-1.98104519725
ALE:GalactoseA6:2.0,-14.055471595542803,-2.20886774225
ALE:GalactoseA8:1.0,-13.36610921125339,-2.37689444325
ALE:GalactoseA8:2.0,-13.610037677220296,-2.51577324425
ALE:IL_Control:1.0,1.916827314946427,-0.3891084562499998
ALE:IL_Control:2.0,-7.330690426717212,-0.9499680922499998
ALE:IL_Control:3.0,1.0466566839741056,0.7516920127500004
ALE:IL_Control:4.0,4.36720642630879,0.58738453575
ALE:IL_TEOH_OAc:1.0,6.733101709733206,1.5898474687500004
ALE:IL_TEOH_OAc:2.0,6.957866214157154,1.2939475197499997
ALE:IL_TEA_HS:1.0,-5.078357908670972,-1.11976645925
ALE:IL_TEA_HS:2.0,-1.2370170532646498,-0.54910870425
ALE:IL_Mixed:1.0,13.599776443366007,2.23446867575
ALE:IL_Mixed:2.0,13.985299122882957,2.39996569975
ALE:IL_PP5350:1.0,7.090047768346285,0.0711848927499998
ALE:IL_PP5350:2.0,8.133801806811702,0.6876162147500002
ALE:IL_T8:1.0,1.4659878032321856,-1.14411466025
ALE:IL_T8:2.0,-0.4448269614341902,-1.0414574222499997
ALE:IL_T9:1.0,-12.036412503842898,-1.3043883372499998
ALE:IL_T9:2.0,-12.615299800843848,-1.72015057525
ALE:IL_Control2:1.0,20.906604933740667,3.6215735367500006
ALE:IL_Control2:2.0,24.64024263770961,4.597423805749999
ALE:IL_Glc+Ace:1.0,9.393284027277172,2.40471110775
ALE:IL_Glc+Ace:2.0,10.979823480960974,2.49974750375
ALE:XyloseA1:1.0,-5.510428656626941,-0.3553145542499996
ALE:XyloseA1:2.0,-8.788085550182727,-0.7286938232499995
ALE:XyloseA2:1.0,-14.0176564877097,-2.10170378625
ALE:XyloseA2:2.0,-13.937135956950272,-1.97179749425
ALE:XyloseA3:1.0,-13.052953557992453,-2.22734834025
ALE:XyloseA3:2.0,-12.885385353822674,-1.7496084282499995
ALE:XyloseA4:1.0,6.615198131477938,0.4851180967499999
ALE:XyloseA4:2.0,8.64648951033901,0.7985821257500003
Aromatic:Coumarate:1.0,-4.462343253098414,-0.4213335596666669
Aromatic:Coumarate:2.0,-4.309441117236507,-0.4845097106666669
Aromatic:Coumarate:3.0,-4.010350617655946,-0.8743944836666668
Aromatic:Coumarate+ferulate:1.0,0.1839417545467082,-0.4430038696666667
Aromatic:Coumarate+ferulate:2.0,-0.003961312953158,-0.3042620216666667
Aromatic:Coumarate+ferulate:3.0,0.0277981023922613,-0.2897517066666668
Aromatic:Ferulate:1.0,-3.3893878674218687,-0.5252755636666668
Aromatic:Ferulate:2.0,-3.006990335307296,-0.7204486306666666
Aromatic:Ferulate:3.0,-2.553466561846153,-0.596400073666667
Aromatic:Glucose:1.0,-1.0292519665101505,-0.1993167346666666
Aromatic:Glucose:2.0,-1.5111772033557107,-0.0353916396666669
Aromatic:Glucose:3.0,2.5404291700472728,0.2347083743333331
Bioreactor1:24h:1.0,-0.2813721298250269,-0.1669083634999999
Bioreactor1:24h:2.0,0.281372129605076,0.1669083635000001
Bioreactor2:S_0min:1.0,-0.2809483116499275,-0.1143920076666665
Bioreactor2:S_15min:1.0,-0.3236247582732109,-0.4485028716666666
Bioreactor2:P1_15min:1.0,-0.0443536435341209,0.2607803783333334
Bioreactor2:P3_15min:1.0,-0.2599515653709647,-0.3020912216666666
Bioreactor2:P5_15min:1.0,0.1187165028460477,-0.0205587236666665
Bioreactor2:S_1h:1.0,-0.0423320223636473,-0.0365582666666665
Bioreactor2:S_3h:1.0,-0.5117333254724854,-0.5361890886666665
Bioreactor2:S_9h:1.0,-0.7840828233283529,0.2278528233333335
Bioreactor2:S_25h:1.0,-0.1281099700974537,0.5181154133333336
Bioreactor2:P1_25h:1.0,0.2139333207994589,0.3366679443333334
Bioreactor2:P3_25h:1.0,-0.3322444430928064,-0.4631551746666665
Bioreactor2:P5_25h:1.0,-0.8179493718817237,0.1360702263333334
Bioreactor2:S_0min:2.0,-0.3561958191771022,0.4073442203333334
Bioreactor2:S_15min:2.0,-0.0967237943368323,0.4455119133333335
Bioreactor2:P1_15min:2.0,0.1177763753764658,0.0952678623333335
Bioreactor2:P3_15min:2.0,-0.1964185701361986,-0.0117641976666665
Bioreactor2:P5_15min:2.0,0.5156241773401045,-0.7756227416666666
Bioreactor2:S_1h:2.0,0.7012721010534118,-0.1860339076666665
Bioreactor2:S_3h:2.0,-0.6759259424086851,0.2041099863333334
Bioreactor2:S_9h:2.0,-0.6508657960400679,0.1194781923333335
Bioreactor2:S_25h:2.0,-0.4870972543567101,-0.3282319816666665
Bioreactor2:P1_25h:2.0,-0.2169025229422967,0.5023488093333334
Bioreactor2:P3_25h:2.0,0.0052650617991698,0.0107707333333334
Bioreactor2:P5_25h:2.0,-0.0998000392075493,0.1521919753333335
Bioreactor2:S_0min:3.0,0.6371441310103527,-0.2929522126666665
Bioreactor2:S_15min:3.0,0.1226460324701458,-0.0433387726666665
Bioreactor2:P1_15min:3.0,1.3620829085963826,-0.4604407526666665
Bioreactor2:P3_15min:3.0,-0.1056941646636805,-0.4251269926666665
Bioreactor2:P5_15min:3.0,0.1865343673139567,-0.7444805946666666
Bioreactor2:S_1h:3.0,0.0843443373330269,0.1082695803333334
