,ydfE
Cr_1,-0.000882040026691732
Cr_2,0.000540737423198076
Cr_3,0.01863955434565432
Cr_4,0.03808550476119637
Cr_5,0.04938296463965463
Cr_6,0.05643743043251971
Fe_1,0.01370085029229642
Fe_2,0.03952866912896544
Fe_3,0.05942556089199781
Fe_4,0.08400034095540654
Fe_5,0.03120815657969568
Fe_6,-0.007188165101477919
Cd_1,-0.0024899756659446416
Cd_2,0.004109239869477847
Cd_3,-0.0043666858572032966
Cd_4,-0.00781450120614435
Cd_5,-0.013626362220369816
Cd_6,-0.012528876162756166
Zn_1,-0.005212114149832746
Zn_2,0.0070410619859795015
Zn_3,0.025437238288281518
Zn_4,0.050993827807768
Zn_5,0.04925476203458983
Zn_6,0.03905221935383429
Cu_1,-0.004125014310749561
Cu_2,0.007250153640055197
Cu_3,0.009529123389364062
Cu_4,0.005509894149279728
Cu_5,0.006630414831348425
Cu_6,0.013720780532781942
Pb_1,0.0037670380758560718
Pb_2,-0.014129550259499213
Pb_3,-0.023995312133911383
Pb_4,-0.023996322811404684
Pb_5,-0.031325218575334116
Pb_6,-0.047765729610429776
