,A,ComA
R2,,0.0167495857441049
xmin,,-3.0305453307398738
xmid,,0.6177060850096247
xmax,,2.1964237711988828
ystart,,-0.4582221780352107
yend,,-1.8524369034630945
SRX8138083,0.3071426512700157,0.1451337468894831
SRX8138084,0.30654069583572885,-0.17964614490009634
SRX8138085,-0.6136833471057349,0.03451239801061323
SRX8138086,-0.5901445587569227,-0.170590546808139
SRX8138087,0.2496007683458577,-0.3157788289410659
SRX8138088,-1.1647315172178074,-0.11835020312637655
ERX4111143,0.490666374882869,0.07912611983402229
ERX4111144,-1.1193813112205029,-0.3712448304275773
ERX4111145,-0.3091039605667191,-0.13972981315797828
ERX4111146,-0.2858876403036547,0.00485577085527833
ERX4111148,-0.8898684105926791,-0.045523440547103
ERX4111149,-0.20592967530580825,-0.1993621251387676
ERX4111150,-0.4096041746843926,-0.1207633784301212
ERX4111151,-0.4906663748828777,-0.07912611983402229
ERX4111152,-0.316021455685024,-0.5580993051495096
ERX4111153,-0.04793290302438834,-0.06680738950533183
ERX4111154,-0.36677912283465297,0.003890641437478415
ERX4111156,0.5935592920100732,-0.03617087305532074
ERX4111157,0.06540467469846195,-0.13653260207409354
ERX4111158,-0.038095574912816885,0.09782171833494502
SRX5577041,0.05034066757504673,-0.03954455531467005
SRX5577042,0.0167118379885775,-0.0010934013458712144
SRX5577043,0.3988884880480741,0.023830482186360413
SRX5577044,-0.4659409936116997,0.016807474474181742
SRX5577045,0.005191786102566828,-0.8208054635900623
SRX5577046,0.14944185681225053,-0.37571082723856986
SRX5577047,-0.9878143119155371,-0.35811618041205584
SRX5577048,-0.6024701140272023,-0.3165436300685505
SRX5577049,-0.4411011550361485,-0.2499754652898716
SRX5577050,-0.6891291101608775,-0.4676022297484312
SRX5577051,-0.7104545975001109,-0.4309363022053008
SRX5577052,-1.314520544590036,-0.502259075558773
SRX5577053,-1.5861562272062335,0.017170160057768058
SRX5577054,-1.7153874521129138,-0.10667592337910836
SRX5577055,-1.3989635570936998,0.14535316625528427
SRX5577056,-1.4098939380917943,-0.000596196272573124
SRX5577057,-1.4982778640790049,-0.15633115975030965
SRX5577058,-0.6456418684308888,0.08300606584150927
SRX5577059,-0.9623574996723429,-0.004646880327224601
SRX5577060,-1.5627436524276783,0.06309110430876341
SRX5577061,-2.0876848448068825,0.13526161132989234
SRX5577062,-1.2797704779081809,0.10081315413361748
SRX5577063,-2.047202036649816,0.13044143964427854
