,trxC
Cr_1,0.004446166686893031
Cr_2,0.00968539676381063
Cr_3,0.005987101608603455
Cr_4,-0.0010830878963212717
Cr_5,-0.0034968639771289665
Cr_6,-0.010535750099556663
Fe_1,-0.01320758440107133
Fe_2,-0.03770589842687777
Fe_3,-0.05323219680710297
Fe_4,-0.06852455239833509
Fe_5,-0.08268223520216131
Fe_6,-0.09688822519501324
Cd_1,0.007417228188566821
Cd_2,0.015561557922129491
Cd_3,0.029486824020553557
Cd_4,0.04113536342117812
Cd_5,0.040846323719608967
Cd_6,0.04153246414431581
Zn_1,-0.03020127186492817
Zn_2,-0.03915965260153726
Zn_3,-0.026115034661598337
Zn_4,-0.012706248845215241
Zn_5,0.00022607017233417027
Zn_6,0.03537319188760533
Cu_1,0.00014899118885422247
Cu_2,0.006075631196766317
Cu_3,0.013697674210734234
Cu_4,0.02171654405769486
Cu_5,0.026040221593132046
Cu_6,0.02685082790399777
Pb_1,-0.0021607759143690104
Pb_2,0.0032260737029291965
Pb_3,0.01652298796552161
Pb_4,0.025650208209688368
Pb_5,0.04217940049846882
Pb_6,0.060346955592772776
