,uidA
Cr_1,-0.00036509406261709526
Cr_2,-9.613994821425772e-05
Cr_3,0.012780497667508677
Cr_4,0.01154584245973532
Cr_5,0.00908381971942011
Cr_6,0.011925948991693077
Fe_1,-0.006278642210412855
Fe_2,-0.026338486466409974
Fe_3,-0.038293037581537306
Fe_4,-0.038823974721082205
Fe_5,-0.035945155625787865
Fe_6,-0.02692887049389355
Cd_1,-0.004615423774125996
Cd_2,-0.001215795619835506
Cd_3,0.00010236436549454492
Cd_4,0.003021754509111741
Cd_5,0.0013854545772671472
Cd_6,0.003391488254958509
Zn_1,-0.011599283642660949
Zn_2,-0.01904728962291539
Zn_3,-0.01664050422693323
Zn_4,-0.011953061753537086
Zn_5,-0.0038641786067269046
Zn_6,0.00477205522843948
Cu_1,0.007296451044604134
Cu_2,0.012171517550853888
Cu_3,0.011091399619994377
Cu_4,0.013852466265472041
Cu_5,0.02272186961195454
Cu_6,0.025594581238181303
Pb_1,-0.0040497238924393575
Pb_2,7.95018750833758e-05
Pb_3,-0.0003849685162847417
Pb_4,0.00309860095327282
Pb_5,0.013712574384519987
Pb_6,0.01289071892494917
