,A,NrdR
R2,,0.06078116183183313
xmin,,-1.83575522
xmid,,-0.3140483857274694
xmax,,1.983518504
ystart,,-1.8485647553563846
yend,,4.859959368516997
control__wt_glc__1,0.0029030255000000002,0.008663777000000001
control__wt_glc__2,-0.0029030255000000002,-0.008663777000000001
fur__wt_dpd__1,11.2916250185,0.44312632100000005
fur__wt_dpd__2,11.5880970879,0.355665546
fur__wt_fe__1,-2.4805276004,0.0015992790000000001
fur__wt_fe__2,-2.5896643025,0.13105808500000002
fur__delfur_dpd__1,10.0470671964,0.27482072700000004
fur__delfur_dpd__2,9.3387441194,0.365028679
fur__delfur_fe2__1,6.2218995679,0.23882957000000002
fur__delfur_fe2__2,6.4774749557,0.27248836400000004
acid__wt_ph5__1,-0.06495210650000001,0.267638192
acid__wt_ph5__2,-0.45817674680000003,0.281702445
acid__delgadx_ph5__2,-0.8798068857,0.34975295500000003
acid__delgadw_ph5__1,-2.2986399688,0.46167298900000003
acid__delgadw_ph5__2,-2.1743215664,0.24270370900000002
acid__delgade_ph5__1,0.1299948804,0.340908162
acid__delgade_ph5__2,0.3702419431,0.344923233
oxidative__wt_pq__1,11.5791142442,0.6898398570000001
oxidative__wt_pq__2,11.5736650048,0.45620668700000006
oxidative__deloxyr_pq__1,11.2024352701,0.9135846660000001
oxidative__deloxyr_pq__2,11.5879519817,0.855699791
oxidative__delsoxr_pq__1,10.0333371288,0.5692543320000001
oxidative__delsoxr_pq__2,9.8223059689,0.47657958100000003
oxidative__delsoxs_pq__1,10.6897345143,0.853854273
oxidative__delsoxs_pq__2,10.7028202207,0.868367105
nac_ntrc__wt_csn__1,4.809216018,0.11591862900000001
nac_ntrc__wt_csn__2,4.3281460643,0.09800384200000001
nac_ntrc__wt_cytd__1,4.0452991879,-0.136502982
nac_ntrc__wt_cytd__2,3.9971313168,-0.077471626
nac_ntrc__wt_gln__1,-0.0813848768,-0.244731036
nac_ntrc__wt_gln__2,0.14542832190000002,-0.062803704
nac_ntrc__bw_delnac_csn__1,4.4461702603,0.556008229
nac_ntrc__bw_delnac_csn__2,4.5943664484,0.16602112300000002
nac_ntrc__bw_delnac_cytd__1,2.2001040047,-0.057151494000000004
nac_ntrc__bw_delnac_cytd__2,1.9256480362000001,0.10549182600000001
nac_ntrc__bw_delnac_gln__1,1.4772578511,0.17648664800000002
nac_ntrc__bw_delnac_gln__2,1.8410990810999999,-0.114299677
nac_ntrc__bw_delnac_nh4__1,-0.15824900990000001,-0.08694905800000001
nac_ntrc__bw_delnac_nh4__2,-0.15717324530000001,-0.005938897
misc__wt_no_te__1,9.1566949151,0.356018781
misc__wt_no_te__2,7.6776711384,0.077565463
misc__bw_delcbl__1,2.4536868908000002,0.31326806900000004
misc__bw_delcbl__2,2.8118531384,0.265814579
misc__bw_delfabr__1,-0.44461608410000003,0.242188543
misc__bw_delfabr__2,-0.4642907297,0.10963391300000001
misc__bw_delfadr__1,4.8626375139,0.340099926
misc__bw_delfadr__2,4.4300491473,0.308554657
misc__nitr_031__1,3.112288004,0.35969946900000005
omics__wt_glu__1,-0.7760939056,-0.795868647
omics__wt_glu__2,-0.9536735392000001,-0.6391860530000001
omics__wt_gly__1,-0.48341388900000004,-0.652301345
omics__wt_gly__2,-0.4714463233,-0.678105446
