locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Fur,link
USA300HOU_RS05650,0.180257513,isdC,iron-regulated surface determinant protein C,Cell wall/membrane/envelope biogenesis,"isdC,isdE,isdF",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003360000
USA300HOU_RS05655,0.159017967,USA300HOU_RS05655,hypothetical protein,No COG category,"isdC,isdE,isdF",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003362000
USA300HOU_RS00605,0.15794570200000002,sbnA,siderophore biosynthesis protein SbnA,Amino acid transport and metabolism,"sbnA,arcB,sbnC,mdtG,iucA,iucC,sbnG,sbnH,sbnI",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000914000
USA300HOU_RS05660,0.156560628,isdE,heme uptake system protein IsdE,Inorganic ion transport and metabolism,"isdC,isdE,isdF",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003363000
USA300HOU_RS05670,0.153519143,srtB,SrtB family sortase,Function unknown,,Fur,True,
USA300HOU_RS05675,0.152273828,isdG,monooxygenase IsdI,Function unknown,isdG,Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003368000
USA300HOU_RS00610,0.148564102,arcB,"2,3-diaminopropionate biosynthesis protein SbnB",Amino acid transport and metabolism,"sbnA,arcB,sbnC,mdtG,iucA,iucC,sbnG,sbnH,sbnI",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000915000
USA300HOU_RS05665,0.14589533,isdF,hemin ABC transporter permease,Inorganic ion transport and metabolism,"isdC,isdE,isdF",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003364000
USA300HOU_RS00615,0.142816456,sbnC,siderophore biosynthesis protein SbnC,"Secondary metabolites biosynthesis, transport, and catabolism","sbnA,arcB,sbnC,mdtG,iucA,iucC,sbnG,sbnH,sbnI",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000916000
USA300HOU_RS05640,0.14007528900000002,USA300HOU_RS05640,iron-regulated surface determinant protein B,No COG category,,Fur,True,
USA300HOU_RS00600,0.139700921,sirA,iron ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,"sirC,sirB,sirA",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000913000
USA300HOU_RS00620,0.137412911,mdtG,MFS transporter,Carbohydrate transport and metabolism,"sbnA,arcB,sbnC,mdtG,iucA,iucC,sbnG,sbnH,sbnI",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000918000
USA300HOU_RS00625,0.12694567,iucA,siderophore biosynthesis protein SbnE,"Secondary metabolites biosynthesis, transport, and catabolism","sbnA,arcB,sbnC,mdtG,iucA,iucC,sbnG,sbnH,sbnI",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000919000
USA300HOU_RS00635,0.11892849500000001,sbnG,siderophore biosynthesis protein SbnG,Carbohydrate transport and metabolism,"sbnA,arcB,sbnC,mdtG,iucA,iucC,sbnG,sbnH,sbnI",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000921000
USA300HOU_RS00630,0.115512733,iucC,siderophore biosynthesis protein SbnF,"Secondary metabolites biosynthesis, transport, and catabolism","sbnA,arcB,sbnC,mdtG,iucA,iucC,sbnG,sbnH,sbnI",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000920000
USA300HOU_RS05645,0.11376108900000001,isdA,iron-regulated surface determinant protein A,Cell wall/membrane/envelope biogenesis,isdA,Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003359000
USA300HOU_RS00595,0.11070283800000001,sirB,siderophore ABC transporter permease,Inorganic ion transport and metabolism,"sirC,sirB,sirA",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000912000
USA300HOU_RS13390,0.11034117900000001,dapF,diaminopimelate epimerase,Amino acid transport and metabolism,dapF,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006030000
USA300HOU_RS11785,0.10990511100000001,fecB,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,fecB,Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005567000
USA300HOU_RS13380,0.10694566500000001,USA300HOU_RS13380,hypothetical protein,Function unknown,dapF,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006028000
USA300HOU_RS03970,0.10506351300000001,ceuB,iron ABC transporter permease,Inorganic ion transport and metabolism,"ceuB,ceuC,yclP",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN002636000
USA300HOU_RS03980,0.10050093700000001,yclP,iron ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,"ceuB,ceuC,yclP",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN002639000
USA300HOU_RS13385,0.09866846,USA300HOU_RS13385,hypothetical protein,No COG category,dapF,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006029000
