,Value,list
TF,Fur,
reg_genes,47,"['USA300HOU_RS01830' 'fhuD' 'tatA' 'feoB' 'USA300HOU_RS09190' 'efeN'
 'acnA' 'fhuG' 'arlS' 'feoA' 'USA300HOU_RS11795' 'tatC' 'ycdO'
 'USA300HOU_RS04360' 'USA300HOU_RS11810']"
comp_genes,45,"['nikC' 'isdI' 'opp-1B' 'USA300HOU_RS13385' 'opp-1F' 'nikA'
 'USA300HOU_RS01390' 'USA300HOU_RS13380' 'USA300HOU_RS13350'
 'USA300HOU_RS00885' 'opp-1D' 'dapF' 'USA300HOU_RS01435']"
both_genes,32,"['fetB' 'sirC' 'yclP' 'prop11' 'USA300HOU_RS11775' 'fhuB' 'ceuB' 'mdtG'
 'USA300HOU_RS05640' 'sbnA' 'sbnG' 'fecB' 'fhuC' 'sirB'
 'USA300HOU_RS05655' 'isdG' 'sirA' 'ftnA' 'sbnI' 'isdA'
 'USA300HOU_RS11800' 'ceuC' 'USA300HOU_RS11780' 'iucA' 'sbnH' 'sbnC'
 'iucC' 'isdF' 'arcB' 'isdE' 'isdC' 'srtB']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,19,
comp_ops,15,
both_ops,12,
